file,year,uniqid,Field,OldValue,NewValue,Blank,Observer,Comment
CWD40_2017_fallen.txt,2017,fallen020,subplot_code,323,"03,23",,LP,"misstype, incorrect/missing character"
CWD40_2017_fallen.txt,2017,fallen077,subplot_code,9.12,"09,12",,LP,"misstype, incorrect/missing character"
CWD40_2017_fallen.txt,2017,fallen122,subplot_code,17.1,"17,01",,LP,"misstype, incorrect/missing character"
CWD40_2017_fallen.txt,2017,fallen006,code_of_piece,7.1,7.1,,LP,"misstype, incorrect/missing character"
CWD40_2017_standing.txt,2017,standing056,subplot_code,12.23,"12,23",,LP,"misstype, incorrect/missing character"
CWD40_2017_standing.txt,2017,standing162,subplot_code,39.07,"39,07",,LP,"misstype, incorrect/missing character"
CWD40_2017_standing.txt,2017,standing036,subplot_code,7.1,"07,01",,LP,"misstype, incorrect/missing character"
CWD40_2017_standing.txt,2017,standing099,code_of_piece,,7.1,,LP,"misstype, incorrect/missing character"
CWD40_2017_standing.txt,2017,standing096,diameter_height.mm,7/06/2017p,,,LP,misstype
CWD40_2017_standing.txt,2017,standing095,tag,caido,,,LP,incorrect column
CWD40_2018_fallen.txt,2018,fallen075,subplot_code,9.12,"09,12",,LP,"misstype, incorrect/missing character"
CWD40_2018_fallen.txt,2018,fallen119,subplot_code,17.1,"17,01",,LP,"misstype, incorrect/missing character"
CWD40_2018_fallen.txt,2018,fallen192,code_of_piece,"9,1",9.1,,LP,"misstype, incorrect/missing character"
CWD40_2018_standing.txt,2018,standing002,subplot_code,121,"01,21",,LP,"misstype, incorrect/missing character"
CWD40_2018_standing.txt,2018,standing003,subplot_code,121,"01,21",,LP,"misstype, incorrect/missing character"
CWD40_2018_standing.txt,2018,standing004,subplot_code,124,"01,24",,LP,"misstype, incorrect/missing character"
CWD40_2018_standing.txt,2018,standing007,subplot_code,02.16,"02,16",,LP,"misstype, incorrect/missing character"
CWD40_2018_standing.txt,2018,standing009,subplot_code,216,"02,16",,LP,"misstype, incorrect/missing character"
CWD40_2018_standing.txt,2018,standing014,subplot_code,309,"03,09",,LP,"misstype, incorrect/missing character"
CWD40_2018_standing.txt,2018,standing041,subplot_code,7.1,"07,01",,LP,"misstype, incorrect/missing character"
CWD40_2018_standing.txt,2018,standing165,subplot_code,39.07,"39,07",,LP,"misstype, incorrect/missing character"
CWD40_2018_standing.txt,2018,standing041,POM,"1,3",1.3,,LP,"misstype, incorrect/missing character"
CWD40_2018_standing.txt,2018,standing149,POM,"1,3",1.3,,LP,"misstype, incorrect/missing character"
CWD40_2018_standing.txt,2018,standing093,POM,"0,55",0.55,,LP,"misstype, incorrect/missing character"
CWD40_2018_standing.txt,2018,standing169,penetration=200mm,.,,,LP,misstype
CWD40_2018_lessstanding.txt,2018,lessstanding079,diameter_height.mm,"2,72",2.72,,LP,"misstype, incorrect/missing character"
CWD40_2018_lessstanding.txt,2018,lessstanding066,POM,"1,3",1.3,,LP,"misstype, incorrect/missing character"
CWD40_2019_fallen.txt,2019,fallen066,subplot_code,9.12,"09,12",,LP,"misstype, incorrect/missing character"
CWD40_2019_fallen.txt,2019,fallen114,subplot_code,17.1,"17,01",,LP,"misstype, incorrect/missing character"
CWD40_2019_fallen.txt,2019,fallen163,subplot_code,2306,"23,06",,LP,"misstype, incorrect/missing character"
CWD40_2019_fallen.txt,2019,fallen194,subplot_code,2617,"26,17",,LP,"misstype, incorrect/missing character"
CWD40_2019_fallen.txt,2019,fallen218,subplot_code,2913,"29,13",,LP,"misstype, incorrect/missing character"
CWD40_2019_fallen.txt,2019,fallen225,subplot_code,31;16,"31,16",,LP,"misstype, incorrect/missing character"
CWD40_2019_fallen.txt,2019,fallen227,subplot_code,31;16,"31,16",,LP,"misstype, incorrect/missing character"
CWD40_2019_fallen.txt,2019,fallen228,subplot_code,31;16,"31,16",,LP,"misstype, incorrect/missing character"
CWD40_2019_fallen.txt,2019,fallen229,subplot_code,31;16,"31,16",,LP,"misstype, incorrect/missing character"
CWD40_2019_fallen.txt,2019,fallen054,orientation_degrees,Solo clavo,,,LP,incorrect column
CWD40_2019_fallen.txt,2019,fallen057,orientation_degrees,Hongos. Es TT y no RT.  140 grados,140,,LP,incorrect column
CWD40_2019_fallen.txt,2019,fallen074,orientation_degrees,se esta descomponiendo,,,LP,incorrect column
CWD40_2019_fallen.txt,2019,fallen252,RT,tronco tronco sin corteza,-,,LP,incorrect column
CWD40_2019_standing.txt,2019,standing094,subplot_code,2117,"21,17",,LP,"misstype, incorrect/missing character"
CWD40_2019_standing.txt,2019,standing179,code_of_piece,19.1,19-1,,LP,"misstype, incorrect/missing character"
CWD40_2019_standing.txt,2019,standing180,code_of_piece,19.1,19-1,,LP,"misstype, incorrect/missing character"
CWD40_2019_standing.txt,2019,standing018,tag,Vivo,,,LP,incorrect column
CWD40_2019_standing.txt,2019,standing116,bark_present,Con corteza,*,,LP,Improve entry format consistancy
CWD40_2020_fallen.txt,2020,fallen104,subplot_code,17.1,"17,01",,LP,"misstype, incorrect/missing character"
CWD40_2020_fallen.txt,2020,fallen216,subplot_code,31;16,"31,16",,LP,"misstype, incorrect/missing character"
CWD40_2020_fallen.txt,2020,fallen218,subplot_code,31;16,"31,16",,LP,"misstype, incorrect/missing character"
CWD40_2020_fallen.txt,2020,fallen219,subplot_code,31;16,"31,16",,LP,"misstype, incorrect/missing character"
CWD40_2020_fallen.txt,2020,fallen220,subplot_code,31;16,"31,16",,LP,"misstype, incorrect/missing character"
CWD40_2020_fallen.txt,2020,fallen156,subplot_code,2306,"23,06",,LP,"misstype, incorrect/missing character"
CWD40_2020_fallen.txt,2020,fallen126,subplot_code,2306,"23,06",,LP,"misstype, incorrect/missing character"
CWD40_2020_fallen.txt,2020,fallen196,subplot_code,2617,"26,17",,,
CWD40_2020_fallen.txt,2020,fallen211,subplot_code,2913,"29,13",,LP,"misstype, incorrect/missing character"
CWD40_2020_fallen.txt,2020,fallen330,code_of_piece,20.1,20-1,,LP,"misstype, incorrect/missing character"
CWD40_2020_fallen.txt,2020,fallen331,code_of_piece,20.1,20-1,,LP,"misstype, incorrect/missing character"
CWD40_2020_fallen.txt,2020,fallen332,code_of_piece,20.1,20-1,,LP,"misstype, incorrect/missing character"
CWD40_2020_fallen.txt,2020,fallen296,penetration=200mm,:,,,LP,misstype
CWD40_2020_standing.txt,2020,standing185,code_of_piece,19.1,19-1,,LP,"misstype, incorrect/missing character"
CWD40_2020_standing.txt,2020,standing186,code_of_piece,19.1,19-1,,LP,"misstype, incorrect/missing character"
CWD40_2020_standing.txt,2020,standing006,diameter_two.mm,sin ramas,,,LP,incorrect column
CWD40_2021_fallen.txt,2021,fallen114,subplot_code,17.1,"17,01",,LP,"misstype, incorrect/missing character"
CWD40_2021_fallen.txt,2021,fallen169,subplot_code,2306,"23,06",,LP,"misstype, incorrect/missing character"
CWD40_2021_fallen.txt,2021,fallen210,subplot_code,2617,"26,17",,LP,"misstype, incorrect/missing character"
CWD40_2021_fallen.txt,2021,fallen222,subplot_code,2913,"29,13",,LP,"misstype, incorrect/missing character"
CWD40_2021_fallen.txt,2021,fallen228,subplot_code,31;16,"31,16",,LP,"misstype, incorrect/missing character"
CWD40_2021_fallen.txt,2021,fallen229,subplot_code,31;16,"31,16",,LP,"misstype, incorrect/missing character"
CWD40_2021_fallen.txt,2021,fallen253,subplot_code,3415,"34,15",,,
CWD40_2021_fallen.txt,2021,fallen230,subplot_code,31;16,"31,16",,LP,"misstype, incorrect/missing character"
CWD40_2021_fallen.txt,2021,fallen003,code_of_piece,7.1,7-1,,LP,"misstype, incorrect/missing character"
CWD40_2021_fallen.txt,2021,fallen004,code_of_piece,21.1,21-1,,LP,"misstype, incorrect/missing character"
CWD40_2021_fallen.txt,2021,fallen212,code_of_piece,"9,1",9-1,,LP,"misstype, incorrect/missing character"
CWD40_2021_fallen.txt,2021,fallen360,code_of_piece,20.1,20-1,,LP,"misstype, incorrect/missing character"
CWD40_2021_fallen.txt,2021,fallen361,code_of_piece,20.1,20-1,,LP,"misstype, incorrect/missing character"
CWD40_2021_fallen.txt,2021,fallen362,code_of_piece,20.1,20-1,,LP,"misstype, incorrect/missing character"
CWD40_2021_fallen.txt,2021,fallen321,diameter_two.mm,44379,2.7,,LP,"misstype, incorrect/missing character"
CWD40_2021_standing.txt,2021,standing197,code_of_piece,19.1,19-1,,LP,"misstype, incorrect/missing character"
CWD40_2021_standing.txt,2021,standing199,code_of_piece,19.1,19-1,,LP,"misstype, incorrect/missing character"
CWD40_2021_standing.txt,2021,standing198,code_of_piece,21.1,21-1,,LP,"misstype, incorrect/missing character"
CWD40_2021_standing.txt,2021,standing123,tag,no tag. Sin corteza. Es el mismo que I6-1 fallen,,,LP,
CWD40_2021_standing.txt,2021,standing006,irregular_diameter_prior,sin ramas,,,LP,incorrect column
CWD40_2021_lessstanding.txt,2021,lessstanding030,POM,1..5,1.5,,LP,"misstype, incorrect/missing character"
CWD40_2022_fallen.txt,2022,fallen178,subplot_code,2306,"23,06",,LP,"misstype, incorrect/missing character"
CWD40_2022_fallen.txt,2022,fallen227,subplot_code,2617,"26,17",,LP,"misstype, incorrect/missing character"
CWD40_2022_fallen.txt,2022,fallen202,subplot_code,23;23,"23,23",,LP,"misstype, incorrect/missing character"
CWD40_2022_fallen.txt,2022,fallen390,code_of_piece,20.1,20-1,,LP,"misstype, incorrect/missing character"
CWD40_2022_fallen.txt,2022,fallen391,code_of_piece,20.1,20-1,,LP,"misstype, incorrect/missing character"
CWD40_2022_fallen.txt,2022,fallen392,code_of_piece,20.1,20-1,,LP,"misstype, incorrect/missing character"
CWD40_2022_fallen.txt,2022,fallen393,code_of_piece,22.1,22-1,,LP,"misstype, incorrect/missing character"
CWD40_2022_fallen.txt,2022,fallen394,code_of_piece,22.2,22-2,,LP,"misstype, incorrect/missing character"
CWD40_2022_fallen.txt,2022,fallen347,inclination_prior,44379,2.7,,LP,"misstype, incorrect/missing character"
CWD40_2022_fallen.txt,2022,fallen361,MC,L?,,,LP,misstype
CWD40_2022_fallen.txt,2022,fallen281,observer,"E, C","E,C",,LP,Improve entry format consistancy
CWD40_2022_fallen.txt,2022,fallen282,observer,"E, C","E,C",,LP,Improve entry format consistancy
CWD40_2022_fallen.txt,2022,fallen283,observer,"E, C","E,C",,LP,Improve entry format consistancy
CWD40_2022_standing.txt,2022,standing144,subplot_code,23;23,"23,23",,LP,"misstype, incorrect/missing character"
CWD40_2022_standing.txt,2022,standing224,code_of_piece,19.1,19-1,,LP,"misstype, incorrect/missing character"
CWD40_2022_standing.txt,2022,standing228,code_of_piece,19.1,19-1,,LP,"misstype, incorrect/missing character"
CWD40_2022_standing.txt,2022,standing225,code_of_piece,21.1,21-1,,LP,"misstype, incorrect/missing character"
CWD40_2022_standing.txt,2022,standing226,code_of_piece,22.1,22-1,,LP,"misstype, incorrect/missing character"
CWD40_2022_standing.txt,2022,standing227,code_of_piece,22.1,22-1,,LP,"misstype, incorrect/missing character"
CWD40_2022_standing.txt,2022,standing203,year,1388,2022,,LP,incorrect value
CWD40_2022_lessstanding.txt,2024,lessstanding032,POM,1..5,1.5,,LP,"misstype, incorrect/missing character"
CWD40_2023_fallen.txt,2024,fallen150,month,21,2,,LP,misstype
CWD40_2023_fallen.txt,2024,fallen176,subplot_code,23;23,"23,23",,,
CWD40_2023_fallen.txt,2024,fallen216,subplot_code,32.07,"32,07",,LP,"misstype, incorrect/missing character"
CWD40_2023_fallen.txt,2024,fallen003,code_of_piece,21.1,21-1,,LP,"misstype, incorrect/missing character"
CWD40_2023_fallen.txt,2024,fallen343,code_of_piece,20.1,20-1,,LP,"misstype, incorrect/missing character"
CWD40_2023_fallen.txt,2024,fallen345,code_of_piece,20.1,20-1,,LP,"misstype, incorrect/missing character"
CWD40_2023_fallen.txt,2024,fallen346,code_of_piece,20.1,20-1,,LP,"misstype, incorrect/missing character"
CWD40_2023_fallen.txt,2024,fallen347,code_of_piece,22.2,22-2,,LP,"misstype, incorrect/missing character"
