sheet	oldcolname	newcolname
fallen	Month	month
fallen	Day	day
fallen	Sub_plot_code	subplot_code
fallen	Transect_section_letter	transect_section_letter
fallen	Code_of_the_piece	code_of_piece
fallen	Cross_section_width_ancho_2023	diameter_width_prior
fallen	New_Cross_section_width_ancho_2024	diameter_width.mm
fallen	Cross_section_hight_alto_2023	diameter_height_prior
fallen	New_Cross_section_hight_alto_2024	diameter_height.mm
fallen	Branchfall	branchfall
fallen	Tag	tag
fallen	Inclinacion_2023	inclination_prior
fallen	Inclinacion_2024	inclination
fallen	ubicacion_de_la_muetra_en_grados_2023	orientation_degrees_prior
fallen	ubicacion_de_la_muetra_en_grados_2024	orientation_degrees
fallen	Muestra_en_el_aire	suspended
fallen	Muestra_en_el_suelo	soil_contact
fallen	Notes_2023	notes_prior
fallen	Notes_2024	notes
fallen	RT	RT
fallen	RR	RR
fallen	TT	TT
fallen	TC	TC
fallen	TS	TS
fallen	TV	TV
fallen	MC	MC
fallen	MS	MS
fallen	Year	year
fallen	Persona	observer
standing	Month	month
standing	Day	day
standing	Sub_plot_code	subplot_code
standing	Transect_section_letter	transect_section_letter
standing	Code_of_the_piece	code_of_piece
standing	diameter_2023	diameter_prior
standing	New_diameter_2024	diameter_one.mm
standing	Height_2023	height_prior
standing	Height_2024	height
standing	POM	POM
standing	Branches	branches
standing	Tag	tag
standing	Notes__2023qa	notes_prior
standing	Notes__2024	notes
standing	Con_corteza	MC
standing	Sin_corteza	MS
standing	Year	year
standing	Persona	observer
standing	New_irregular_diameter_2023	irregular_diameter_prior
standing	New_irregular_diameter_2024	irregular_diameter_one.mm
lessstanding	Month	month
lessstanding	Day	day
lessstanding	Sub_plot_code	subplot_code
lessstanding	Transect_section_letter	transect_section_letter
lessstanding	Code_of_the_piece	code_of_piece
lessstanding	diameter_2023	diameter_prior
lessstanding	New_diameter_2024	diameter_one.mm
lessstanding	Height_2023	height_prior
lessstanding	Height_2024	height
lessstanding	POM	POM
lessstanding	Branches	branches
lessstanding	Tag	tag
lessstanding	Notes_2023	notes_prior
lessstanding	Notes_2024	notes
lessstanding	Year	year
lessstanding	Persona	observer
lessstanding	Other_people	other_people
lessstanding	Paint_color	paint_color
lessstanding	Tape_color	tape_color
lessstanding	Forest_fires	forest_fires
