file,code_of_piece,year,notes_new,uniqid,EX,DP,PN,AA,SD,CH,CAIDO,VIVO,bark_present,bark_absent,BUTTRESS
CWD40_2017_fallen.txt,"19,12B.3.1",2017,la muestra solo queda un pedazo,fallen134,,*,,,,,,,,,
CWD40_2017_fallen.txt,"05,12E.2.1",2017,se rajo en dos partes,fallen037,,*,,*,,,,,,,
CWD40_2017_fallen.txt,"07,13P.9.1",2017,el mismo arbol que A 0-1. Esta aplastado. Solo quedan restos,fallen067,,*,,,,,,,,,
CWD40_2017_fallen.txt,"21,15E.0.2",2017,NA,fallen161,,*,,,,,,,,,
CWD40_2017_fallen.txt,"26,17B.2.1",2017,se descompuso y la rompieron ramas que cayeron,fallen185,,*,,,,,,,,,
CWD40_2017_fallen.txt,"44,23N.6.1",2017,se descompuso donde pasa el transecto. Solo restos,fallen308,,*,,,,,,,,,
CWD40_2017_fallen.txt,"03,23M.4.1",2017,NA,fallen022,,*,,,,,,,,,
CWD40_2017_fallen.txt,"36,13B.5.2",2017,TAB2AR. El mismo que A 5-1. CorrecciÃ³n es 5-2 no 5-1. CorrecciÃ³n estÃ¡ en B y no en C,fallen236,,*,,,,,,,,,
CWD40_2017_fallen.txt,"18,23F.4.1",2017,CorrecciÃ³n la muestra tiene corteza,fallen127,,*,,,,,,,,,
CWD40_2017_fallen.txt,"24,15I.2.1",2017,Solo queda corteza,fallen182,,*,,,,,,,,,
CWD40_2017_fallen.txt,"14,05A.2.1",2017,NA,fallen096,,*,,,,,,,,,
CWD40_2017_fallen.txt,"10,20I.5.1",2017,"es el mismo que 10,20 H 3-1",fallen086,,*,,,,,,,,,
CWD40_2017_fallen.txt,"05,24G.5.1",2017,"Solo el clavo, se descompuso",fallen046,,*,,,,,,,,,
CWD40_2017_fallen.txt,"26,21B.4.1",2017,"es el mismo que 26,21 A 3-2",fallen195,,*,,,,,,,,,
CWD40_2017_fallen.txt,"44,23N.4.1",2017,NA,fallen307,,*,,,,,,,,,
CWD40_2017_fallen.txt,"24,09F.3.1",2017,NA,fallen178,,*,,,,,,,,,
CWD40_2017_fallen.txt,"29,06F.3.2",2017,es el mismo arbol,fallen211,,*,,,,,,,,,
CWD40_2017_fallen.txt,"36,04O.6.1",2017,PerdiÃ³ una parte,fallen231,,*,,,,,,,,,
CWD40_2017_fallen.txt,"37,17O.2.1",2017,le cayo O 5-1 encima. Es el mismo que O2-2,fallen250,,*,,,,,,,,,
CWD40_2017_fallen.txt,"10,20H.4.1",2017,es la misma que H 4-2,fallen085,,*,,,,,,,,,
CWD40_2017_fallen.txt,"26,21A.4.1",2017,TAB2AR.Se partio,fallen193,,*,,,,,,,,,
CWD40_2017_fallen.txt,"05,24G.4.1",2017,NA,fallen045,,*,,,,,,,,,
CWD40_2017_fallen.txt,"39,07L.4.4",2017,esta arriba suspendido en el aire,fallen261,,*,,,,,,,,,
CWD40_2017_fallen.txt,"03,23M.5.1",2017,NA,fallen023,,*,,,,,,,,,
CWD40_2017_fallen.txt,"33,12H.6.1",2017,"tiene banda de metal. EstÃ¡ en el 31,13 en el 4,4",fallen219,,*,,,,,,,,,
CWD40_2017_fallen.txt,"05,12E.4.1",2017,NA,fallen038,,*,,,,,,,,,
CWD40_2017_fallen.txt,"21,10A.5.1",2017,"se estÃ¡ descomponiendo, ahora se tuvo que usar el penetrometro en Ã¡rea con corteza",fallen158,,*,,,,,,,,,
CWD40_2017_fallen.txt,"37,17B.2.1",2017,es el mismo B 2- 2,fallen245,,*,,,,,,,,,
CWD40_2017_fallen.txt,"15,07F.3.1",2017,"se esta descomponiendo, la cascara se abrio. Sin ramas",fallen116,,*,,*,,,,,,,
CWD40_2017_fallen.txt,"38,11M.6.1",2017,con corteza,fallen252,,*,,,,,,,,,
CWD40_2017_fallen.txt,"11,15I.3.1",2017,revisar censo anterior,fallen091,,*,,,,,,,,,
CWD40_2017_fallen.txt,"19,16J.NA",2017,NA,fallen137,,*,,,,,,,,,
CWD40_2017_fallen.txt,"01,24M.6.1",2017,es psecropia,fallen003,,*,,,,,,,,,
CWD40_2017_fallen.txt,"49,21J.4.1",2017,NA,fallen348,,*,,,,,,,,,
CWD40_2017_fallen.txt,"06,06J.3.1",2017,el centro esta hueco,fallen051,,*,,,,*,,,,,
CWD40_2017_fallen.txt,"07,01F.5.1",2017,NA,fallen056,,*,,,,,,,,,
CWD40_2017_fallen.txt,"08,06K.4.1",2017,NA,fallen072,,*,,,,,,,,,
CWD40_2017_fallen.txt,"39,07B.6.1",2017,es el mismo que O6-1. Zantoxylum,fallen256,,*,,,,,,,,,
CWD40_2017_fallen.txt,"49,04K.3.1",2017,"TT sin ramas, cascaras.",fallen343,,*,,,,,,,,,
CWD40_2017_fallen.txt,"06,06P.6.1",2017,tiene banda de metal. Es un PRI2CO,fallen052,,*,,,,,,,,,
CWD40_2017_fallen.txt,"21,15D.0.2",2017,NA,fallen160,,*,,,,,,,,,
CWD40_2017_fallen.txt,"23,03E.4.1",2017,correcion no es RR es RT,fallen172,,*,,,,,,,,,
CWD40_2017_fallen.txt,"21,15P.2.1",2017,"perdio la corteza, no entra el clavo",fallen165,,*,,,,,,,,,
CWD40_2017_fallen.txt,"03,23L.4.1",2017,se esta rompiendo,fallen021,,,,*,,,,,,,
CWD40_2017_fallen.txt,"26,21A.3.1",2017,se rompio,fallen191,,,,*,,,,,,,
CWD40_2017_fallen.txt,"45,05J.6.2",2017,estaba rajado anteriormente,fallen320,,,,*,,,,,,,
CWD40_2017_fallen.txt,"06,06D.4.1",2017,S esta rajando,fallen048,,,,*,,,,,,,
CWD40_2017_fallen.txt,"05,03M.6.1",2017,Esta bajo una rama viva grande que cayo sobre la muestra y no permite medirla,fallen032,,,*,*,,,,,,,
CWD40_2017_fallen.txt,"33,12G.2.1",2017,es el que estaba parado en F 9-1.Se esta rajando,fallen218,,,,*,,,,,,,
CWD40_2017_fallen.txt,"34,04E.7.1",2017,la muestra estÃ¡ rajada,fallen224,,,,*,,,,,,,
CWD40_2017_fallen.txt,"06,06I.5.1",2017,esta hueco y se esta abriendo,fallen050,,,,*,,*,,,,,
CWD40_2017_fallen.txt,"07,13A.0.1",2017,el mismo arbol que P 9-1. Esta hueco en el centro,fallen065,,,,*,,*,,,,,
CWD40_2017_fallen.txt,"01,24O.4.3",2017,"Se descompuso, solo se encontrÃ³ el clavo",fallen005,,*,,*,,,,,,,
CWD40_2017_fallen.txt,"02,16O.9.1",2017,Se descompuso,fallen012,,*,,*,,,,,,,
CWD40_2017_fallen.txt,"03,12G.3.1",2017,solo corteza,fallen014,,*,,*,,,,,,,
CWD40_2017_fallen.txt,"03,12O.4.1",2017,No se encontro,fallen015,*,*,,*,,,,,,,
CWD40_2017_fallen.txt,"03,23K.6.1",2017,"no se encontrÃ³, se descompuso",fallen020,*,*,,*,,,,,,,
CWD40_2017_fallen.txt,"05,03I.3.2",2017,dificil medir muestra el 3-1 esta sobre el,fallen026,,,*,*,,,,,,,
CWD40_2017_fallen.txt,"05,03K.4.1",2017,se descompuso,fallen030,,*,,*,,,,,,,
CWD40_2017_fallen.txt,"05,03L.6.2",2017,"Se des compuso, solo encontramos el clavo. En toda esta area cayeron algunas ramas y tronco grande, que hace dificil encontrar las muestras",fallen033,*,*,,,,,,,,,
CWD40_2017_fallen.txt,"05,03O.5.1",2017,nada,fallen036,,*,,,,,,,,,
