"transect_section","code_of_piece","leaves","bark","diameter_width.mm","pen.hit.mm","crossmassCWD.kgm","wet.density.gm3","dry.density.gm3","dry.density.kgm3","norm_orientation_degrees","slice.mass.g","weight.avg.thickness.m","fresh.mass.g","final.dry.mass.g","uniqid"
"02,15","C1",0,0,298,25,6,282877.9483,85330.1,85.3301,85,4380,0.222,788,237.7,"longCWD001"
"02,19","C1",0,0,284,15.38461538,10.7,242862.493,168560.7,168.5607,76,1000,0.065,237.3,164.7,"longCWD002"
"05,03","C1",0,0,1228,6.05,84.9,240382.8588,71703.14282,71.70314282,42,19075,0.067,1558.9,465,"longCWD003"
"05,03","C2",0,0,275,6.05,8.6,347948.9519,144935.1273,144.9351273,42,930,0.045,266,110.8,"longCWD004"
"05,04","C1",0,0,427,11.11111111,16.1,479239.497,112630,112.63,65,3500,0.051,852.7,200.4,"longCWD005"
"05,09","C1",0,0,488,8.9,30.1,748512.1894,160866.5278,160.8665278,120,6300,0.045,953.4,204.9,"longCWD006"
"05,10","C1",0,1,212,7.3,4.2,526119.1089,118052.3428,118.0523428,90,650,0.035,210.8,47.3,"longCWD007"
"05,14","C1",0,1,211,7.35,14.6,904222.1098,418096.4301,418.0964301,120,2150,0.068,638,295,"longCWD008"
"05,15","C1",0,0,410,6.05,36.4,570986.0467,275816.3519,275.8163519,135,3920,0.052,914.6,441.8,"longCWD009"
"05,22","C1",0,0,402,3.75,9,512119.999,71157.58924,71.15758924,100,4225,0.065,1574.7,218.8,"longCWD010"
"05,24","C1",0,0,556,13.33333333,94.1,578351.1524,387423.6,387.4236,40,15025,0.107,903.6,605.3,"longCWD011"
"08,05","C1",0,0,392,3.6,27.2,505682.0471,225315.678,225.315678,145,4150,0.068,1018.7,453.9,"longCWD012"
"08,06","C1",0,1,456,1.8,98.1,1140920.8,600463.5484,600.4635484,110,9130,0.049,1424.1,749.5,"longCWD013"
"08,07","C1",0,1,416,0.55,6.7,82694.64026,49638.89502,49.63889502,125,680,0.0605,523.6,314.3,"longCWD014"
"08,10","C2",0,0,414,2.5,44,601704.8756,326900.2679,326.9002679,130,2500,0.030865,877.8,476.9,"longCWD015"
"08,10","C3",0,0,345,1,18,341717.8261,192741.7896,192.7417896,100,1150,0.036,475.5,268.2,"longCWD016"
"08,11","C1",0,1,274,1.2,35.2,848325.2465,597006.5548,597.0065548,72,1780,0.035585,680.5,478.9,"longCWD017"
"08,15","C1",0,1,284,2.7,27.8,685613.481,438650.3159,438.6503159,100,1820,0.041905,790.1,505.5,"longCWD018"
