month	day	subplot_code	transect_section_letter	code_of_piece	diameter_width_prior	diameter_width.mm	penetration.200mm	penetration.200mm.1	branchfall	tag	notes	RT	RR	TT	TC	TS	TV	MC	MS	year	uniqid
1	31	01,21	M	0-1	468	453	83	NA	1	no tag	NA	NA	NA	*	*	NA	NA	*	NA	2017	fallen001
1	31	01,24	J	3-1	227	213	NA	14	1	no tag	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen002
1	31	01,24	M	6-1	222	185	NA	NA	1	259310	es psecropia	NA	NA	*	*	NA	NA	NA	*	2017	fallen003
1	31	01,24	N	4-1	1090	1264	NA	6	0	NA	Ceiba. Se esta aplastando	*	NA	NA	*	NA	NA	NA	*	2017	fallen004
1	31	01,24	O	4-3	358	NA	NA	NA	0	NA	Se descompuso, solo se encontró el clavo	*	NA	NA	*	NA	NA	NA	*	2017	fallen005
1	31	01,24	O	7.1	NA	242	29	NA	1	NA	Corteza.	NA	NA	*	*	NA	NA	*	NA	2017	fallen006
1	26	02,16	A	6-1	222	220	22	NA	1	8092	NA	NA	NA	*	NA	*	NA	*	NA	2017	fallen007
1	26	02,16	B	9-1	330	282	29	NA	0	NA	es la misma muestra de B9-2	NA	*	NA	*	NA	NA	NA	*	2017	fallen008
1	26	02,16	B	9-2	252	242	NA	1	0	NA	es la misma muestra de B9-1	NA	*	NA	*	NA	NA	NA	*	2017	fallen009
1	26	02,16	D	9-1	570	516	28	NA	1	no tag	es la misma muestra que E 9-1	NA	NA	*	*	NA	NA	NA	*	2017	fallen010
1	26	02,16	E	9-1	433	398	82	NA	0	no tag	es la misma muestra que D 9-1	NA	*	NA	*	NA	NA	NA	*	2017	fallen011
1	26	02,16	O	9-1	NA	NA	NA	NA	0	NA	Se descompuso	NA	NA	NA	NA	NA	NA	NA	NA	2017	fallen012
1	24	03,12	B	9-1	458	315	NA	6	1	no tag	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen013
1	24	03,12	G	3-1	NA	NA	NA	NA	NA	8070	solo corteza	NA	NA	NA	NA	NA	NA	NA	NA	2017	fallen014
1	24	03,12	O	4-1	235	NA	NA	NA	1	no tag	No se encontro	NA	NA	*	*	NA	NA	NA	*	2017	fallen015
1	24	03,12	O	9-1	746	687	NA	1	1	no tag	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen016
1	24	03,12	P	2-1	838	801	NA	1	1	no tag	es el mismo que O 9-1	NA	NA	*	*	NA	NA	NA	*	2017	fallen017
1	31	03,23	I	5-1	298	291	NA	15	1	no tag	Psecropia	NA	NA	*	*	NA	NA	NA	*	2017	fallen018
1	31	03,23	J	2-1	273	270	NA	3	0	no tag	NA	NA	*	NA	*	NA	NA	NA	*	2017	fallen019
1	31	323	K	6-1	227	NA	NA	NA	0	NA	no se encontró, se descompuso	NA	*	NA	*	NA	NA	NA	*	2017	fallen020
1	31	03,23	L	4-1	313	265	86	NA	1	NA	se esta rompiendo	NA	NA	*	*	NA	NA	NA	*	2017	fallen021
1	31	03,23	M	4-1	238	95	NA	NA	1	NA	NA	NA	NA	*	NA	*	NA	NA	*	2017	fallen022
1	31	03,23	M	5-1	232	156	NA	NA	0	7820	NA	*	NA	NA	NA	*	NA	NA	*	2017	fallen023
1	23	05,03	G	3-1	290	285	76	NA	1	7663	NA	NA	NA	*	NA	NA	*	NA	*	2017	fallen024
1	23	05,03	I	3-1	190	NA	NA	NA	0	NA	NA	NA	*	NA	*	NA	NA	NA	*	2017	fallen025
1	23	05,03	I	3-2	183	NA	NA	NA	NA	NA	dificil medir muestra el 3-1 esta sobre el	NA	*	NA	*	NA	NA	NA	*	2017	fallen026
1	23	05,03	I	5-1	270	230	91	NA	0	NA	NA	*	NA	NA	NA	NA	*	*	NA	2017	fallen027
1	23	05,03	J	3-1	299	270	159	NA	1	7663	NA	NA	NA	*	NA	NA	*	NA	*	2017	fallen028
1	23	05,03	J	4-1	367	375	93	NA	1	7618	NA	NA	NA	*	*	NA	NA	*	NA	2017	fallen029
