month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height	POM	penetration.200mm	penetration.200mm.1	branches	tag	notes	year	observer	uniqid
1	31	01,21	G	9-1	490	506	5.7	1.3	121	NA	1	no tag	Sin corteza	2017	R	standing001
1	31	01,24	L	4-1	815	NA	NA	1.3	NA	NA	NA	no tag	caido	2017	R	standing002
1	31	01,24	L	5-1	562	NA	NA	1.03	NA	NA	NA	259248	caido	2017	R	standing003
1	31	01,24	M	9-1	552	544	3.8	1.3	103	NA	2	8188	sin corteza	2017	R	standing004
1	26	02.16	F	7-1	NA	234	15.8	1.9	32	NA	2	257704	Psecropia	2017	R	standing005
1	26	02,16	H	7-1	NA	428	27.6	1.3	41	NA	1	57916	NA	2017	R	standing006
1	24	03,09	A	7-1	NA	426	10.6	1.3	70	NA	2	7917	NA	2017	R	standing007
1	24	03,09	A	7-2	NA	369	17.5	1.3	28	NA	1	7918	NA	2017	R	standing008
1	24	03,09	C	7-1	NA	346	18.6	1.3	27	NA	1	8043	NA	2017	R	standing009
1	24	03,09	E	6-1	210	212	6.0	1.3	45	NA	2	251565	La copa ya está sin lianas	2017	R	standing010
3	2	03,12	A	3-1	664	666	30.5	3.5	30	NA	1	7902	sin corteza. Escalera	2017	R	standing011
1	24	03,12	B	2-1	NA	NA	NA	1.3	NA	NA	NA	247017	no encontrado	2017	R	standing012
1	24	03,12	G	5-1	220	183	NA	1.3	NA	NA	NA	402303	NA	2017	R	standing013
1	24	03,12	H	0-1	353	NA	NA	1.3	NA	NA	NA	8070	caido	2017	R	standing014
1	24	03,12	J	9-1	NA	NA	NA	1.3	NA	NA	NA	NA	Quararibea asterolepis, perdio la mitad del tronco. Sacar de la lista porque todavía tiene una parte viva	2017	R	standing015
1	24	03,12	K	3-1	1570	NA	NA	0.8	NA	NA	NA	NA	caido	2017	R	standing016
1	24	03,12	O	3-1	NA	NA	NA	1.3	NA	NA	NA	13141	Cayo	2017	R	standing017
1	31	03,23	P	7-1	NA	298	7.5	1.3	32	NA	2	402962	corteza	2017	R	standing018
1	31	03,23	M	4-1	608	611	11.5	1.3	98	NA	2	7820	con corteza	2017	R	standing019
1	23	05,03	H	3-1	NA	NA	NA	1.3	NA	NA	NA	no tag	no encontrado	2017	R	standing020
1	23	05,03	J	3-1	NA	NA	NA	1.3	NA	NA	NA	7662	caido	2017	R	standing021
1	23	05,03	G	7-1	NA	516	1.1	0.55	19	NA	2	7660	NA	2017	R	standing022
1	26	05,12	I	5-1	357	302	1.00	0 50	NA	1	2	269297	se quebró después del último censo está hueco por dentro	2017	R	standing023
1	31	05,20	A	7-1	NA	487	27.9	1.3	68	NA	1	238573	NA	2017	R	standing024
1	31	05,20	D	7-1	NA	460	15.7	1.50	28	NA	2	7763	NA	2017	R	standing025
1	31	05,20	P	2-1	373	NA	NA	1.3	NA	NA	NA	238678	Caido	2017	R	standing026
1	31	05,20	P	3-1	413	441	19.5	1.3	83	NA	2	238630	con corteza	2017	R	standing027
1	31	05,24	B	4-1	NA	NA	NA	1.3	NA	NA	NA	7478	caido	2017	R	standing028
1	31	05,24	L	4-1	NA	193	NA	1.3	NA	NA	NA	NA	tronco no tag	2017	R	standing029
1	31	05,24	N	7-1	563	NA	16.3	1.3	47	NA	2	239534	corteza	2017	R	standing030
1	24	06,06	B	2-1	NA	NA	NA	0.2	NA	NA	NA	7342	el resto del arbol se cayo	2017	R	standing031
1	24	06,06	C	7-1	NA	288	2.7	1.3	42	NA	2	no tag	NA	2017	R	standing032
1	24	06,06	I	5-1	331	339	2.6	1.3	77	NA	2	7592	sin ramas	2017	R	standing033
1	24	06,06	I	5-2	620	618	9.5	1.3	30	NA	2	13123	sin ramas	2017	R	standing034
1	23	07,01	B	3-1	244	243	3.2	1.3	48	NA	2	7311	corteza	2017	R	standing035
1	23	7.1	I	7-1	NA	338	3	1.3	24	NA	2	7321	corteza	2017	R	standing036
1	23	07,01	K	7-1	NA	556	22.6	1.3	40	NA	2	7301	NA	2017	R	standing037
1	26	07,13	B	0-1	313	260	21.5	1.3	NA	2	2	no tag	NA	2017	R	standing038
1	31	07,20	B	5-1	288	290	5.3	1.3	39	NA	2	7183	sin ramas. Con corteza	2017	R	standing039
1	24	08,06	M	3-1	503	444	1.5	1.3	NA	2	2	7036	sin corteza	2017	R	standing040
1	26	09,12	C	3-1	297	357	69	0.35	134	NA	2	222154	NA	2017	R	standing041
1	26	09,12	D	7-1	NA	205	5.7	1.3	31	NA	2	222123	NA	2017	R	standing042
1	26	09,12	N	NA	218	214	1.1	0.73	NA	5	2	no tag	sin corteza	2017	R	standing043
1	31	10,20	H	4-1	503	441	12.5	1.3	113	NA	2	6849	sin ramas. Sin corteza	2017	R	standing044
1	31	10,20	M	7-1	NA	454	17.0	1.3	43	NA	2	6784	NA	2017	R	standing045
2	6	11,08	O	NA	429	438	3.00	1.3	28	NA	2	6563	es viejo, sin ramas, rajado. Corteza	2017	R	standing046
2	2	11,15	D	7-1	NA	277	6.3	1.3	58	NA	2	212912	Sin corteza	2017	R	standing047
2	2	11,15	G	5-1	298	302	8.9	1.3	23	NA	2	6753	sin ramas	2017	R	standing048
2	2	11,15	I	3-1	483	NA	NA	1.3	NA	NA	NA	213052	caido	2017	R	standing049
2	2	11,15	J	NA	221	212	2.1	1.3	160	NA	2	6528	es viejo era rebrote de 6528	2017	R	standing050
2	2	11,15	K	7-1	NA	298	11.9	1.3	31	NA	2	213119	corteza	2017	R	standing051
2	2	11,15	L	5-1	337	NA	NA	1.3	NA	NA	NA	6524	caido	2017	R	standing052
2	2	11,15	O	6-1	458	442	2.4	1.3	28	NA	2	6532	Sin corteza	2017	R	standing053
2	1	12,23	I	6-1	206	207	28.7	1.3	76	NA	1	209232	sin ramas. Con corteza	2017	R	standing054
3	2	12,23	I	6-2	663	663	28.6	2.8	51	NA	1	9240	con ramas. Sin corteza. Escalera	2017	R	standing055
2	1	12.23	L	7-1	NA	748	1.22	0.61	140	NA	2	204305	con corteza. Está muestra es parte de la gamba, el tronco principal se cayo.	2017	R	standing056
2	1	12,23	N	NA	201	207	0.62	0.3	33	NA	2	no tag	es viejo. Sin corteza	2017	R	standing057
2	2	13,16	I	3-1	353	NA	NA	1.3	NA	NA	NA	6399	Caido	2017	R	standing058
2	2	13,16	I	7-1	NA	270	12.0	1.3	43	NA	1	NA	NA	2017	R	standing059
2	6	14,11	E	9-1	NA	356	1.00	0.52	119	NA	2	NA	Fue encontrado. Estaba debajo de lianas y ramas	2017	R	standing060
2	1	14,24	E	6-1	244	232	2.2	1.3	59	NA	2	6105	corteza. El tronco se quebró a la altura de la medida  pero no se a caido al suelo porque las lianas no lo dejan caer	2017	R	standing061
2	1	14,24	E	7-1	NA	328	18.5	1.3	33	NA	2	195473	corteza	2017	R	standing062
3	2	14,24	K	6-1	503	439	14	3.2	64	NA	2	6087	escalera. Sin ramas. Con corteza	2017	R	standing063
2	1	14,24	N	5-1	408	372	3.5	1.3	26	NA	2	194349	tag corregido. Sin corteza. Esta rajado	2017	R	standing064
