month	day	subplot_code	transect_section_letter	code_of_piece	diameter_width_prior	diameter_width.mm	penetration.200mm	penetration.200mm.1	branchfall	tag	notes	diameter_height.mm	RT	RR	TT	TC	TS	TV	MC	MS	year	observer	uniqid
2	15	01,21	M	0-1	481	468	79	NA	1	no tag	Perdió mucha corteza	NA	NA	NA	*	*	NA	NA	*	NA	2018	R	fallen001
2	15	01,21	I	8-1	NA	211	NA	7	0	No tag	irregular 287 diametro 2. No tag , ubicado fuera del plot	287	NA	NA	NA	NA	NA	NA	NA	NA	2018	R	fallen002
2	15	01,24	J	3-1	213	192	NA	NA	1	no tag	NA	NA	NA	NA	*	*	NA	NA	NA	*	2018	R	fallen003
2	15	01,24	M	6-1	185	127	NA	NA	1	259310	es psecropia	NA	NA	NA	*	*	NA	NA	NA	*	2018	R	fallen004
2	15	01,24	N	4-1	NA	NA	NA	NA	NA	NA	No se encontró nada, totalmente descompuesto	NA	*	NA	NA	*	NA	NA	NA	*	2018	R	fallen005
2	15	01,24	O	7.1	242	233	41	NA	1	NA	Corteza.	NA	NA	NA	*	*	NA	NA	*	NA	2018	R	fallen006
2	16	02,16	A	6-1	220	223	56	NA	1	8092	NA	NA	NA	NA	*	NA	*	NA	*	NA	2018	R	fallen007
2	16	02,16	B	9-1	282	283	66	NA	0	NA	es la misma muestra de B9-2	NA	NA	*	NA	*	NA	NA	NA	*	2018	R	fallen008
2	16	02,16	B	9-2	242	89	NA	NA	0	NA	es la misma muestra de B9-1no	NA	NA	*	NA	*	NA	NA	NA	*	2018	R	fallen009
2	16	02,16	D	9-1	516	560	15	NA	1	no tag	es la misma muestra que E 9-1. La muestra se rajo	NA	NA	NA	*	*	NA	NA	NA	*	2018	R	fallen010
2	16	02,16	E	9-1	398	391	156	NA	0	no tag	es la misma muestra que D 9-1	NA	NA	*	NA	*	NA	NA	NA	*	2018	R	fallen011
2	16	02,16	F	8-1	NA	243	55	NA	NA	257704	tronco. Psecropia	NA	NA	NA	*	*	NA	NA	*	NA	2018	R	fallen012
2	16	02,16	I	8-1	NA	312	51	NA	NA	257916	Tronco	NA	NA	NA	*	NA	*	NA	*	NA	2018	R	fallen013
2	16	02,16	O	9-1	NA	NA	NA	NA	0	NA	Se descompuso	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018	R	fallen014
2	16	03,09	H	8-1	NA	231	70	NA	1	debajo del arbol, no se puede leer	tronco	NA	NA	NA	*	*	NA	NA	*	NA	2018	R	fallen015
2	16	03,12	B	9-1	315	126	NA	NA	1	no tag	NA	NA	NA	NA	*	*	NA	NA	NA	*	2018	R	fallen016
2	16	03,12	O	9-1	977	746	NA	7	1	no tag	NA	NA	NA	NA	*	*	NA	NA	NA	*	2018	R	fallen017
2	16	03,12	P	2-1	801	489	NA	6	1	no tag	es el mismo que O 9-1	NA	NA	NA	*	*	NA	NA	NA	*	2018	R	fallen018
2	15	03,23	I	5-1	291	180	NA	NA	1	no tag	Psecropia	NA	NA	NA	*	*	NA	NA	NA	*	2018	R	fallen019
2	15	03,23	J	2-1	270	170	NA	NA	0	no tag	NA	NA	NA	*	NA	*	NA	NA	NA	*	2018	R	fallen020
2	15	03,23	L	4-1	265	118	NA	NA	1	NA	se esta rompiendo	NA	NA	NA	*	*	NA	NA	NA	*	2018	R	fallen021
2	15	03,23	M	4-1	238	95	NA	NA	1	NA	NA	NA	NA	NA	*	NA	*	NA	NA	*	2018	R	fallen022
2	15	03,23	M	5-1	232	156	NA	NA	0	7820	NA	NA	*	NA	NA	NA	*	NA	NA	*	2018	R	fallen023
2	20	05,03	E	8-1	NA	303	28	NA	1	7656	NA	NA	NA	NA	*	NA	*	NA	*	NA	2018	R	fallen024
2	20	05,03	G	3-1	285	253	55	NA	1	7663	NA	NA	NA	NA	*	NA	NA	*	NA	*	2018	R	fallen025
2	20	05,03	G	8-1	NA	528	16	NA	1	240714	NA	NA	NA	NA	*	*	NA	NA	*	NA	2018	R	fallen026
2	20	05,03	I	5-1	230	170	NA	NA	0	NA	NA	NA	*	NA	NA	NA	NA	*	*	NA	2018	R	fallen027
2	20	05,03	J	3-1	270	180	NA	NA	1	7663	NA	NA	NA	NA	*	NA	NA	*	NA	*	2018	R	fallen028
2	20	05,03	J	4-1	375	232	152	NA	1	7618	NA	NA	NA	NA	*	*	NA	NA	*	NA	2018	R	fallen029
2	20	05,03	K	6-1	560	531	81	NA	1	7330	NA	NA	NA	NA	*	*	NA	NA	NA	*	2018	R	fallen030
2	20	05,03	M	6-1	557	551	126	NA	1	7330	Está hacia N y no hacia M	NA	NA	NA	*	*	NA	NA	NA	*	2018	R	fallen031
2	20	05,03	L	8-1	NA	203	35	NA	0	7621	NA	NA	*	NA	NA	NA	*	NA	*	NA	2018	R	fallen032
2	20	05,03	L	8-2	NA	304	26	NA	0	7621	NA	NA	*	NA	NA	NA	*	NA	*	NA	2018	R	fallen033
2	20	05,03	L	8-3	NA	415	26	NA	1	7621	NA	NA	NA	NA	*	NA	*	NA	NA	*	2018	R	fallen034
2	20	05,03	M	8-1	NA	336	34	NA	0	7621	NA	NA	*	NA	NA	NA	*	NA	*	NA	2018	R	fallen035
