month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height	POM	penetration.200mm	penetration.200mm.1	branches	tag	notes	year	observer	diameter_two.mm	uniqid
2	15	01,21	G	9-1	506	493	3.8	1.3	160	NA	1	no tag	Sin corteza	2018	R	NA	standing001
3	13	121	P	8-1	NA	481	15.2	2.8	23	NA	2	8214	escalera. Sin corteza	2018	R	NA	standing002
2	15	121	K	8-1	NA	443	11.3	1.3	50	NA	1	8207	Irregular 349 diámetro 2 sin ramas	2018	R	349	standing003
2	15	124	G	8-1	NA	324	15.8	1.3	15	NA	1	8536	irregular 264 diamtro 2. Muchas lianas en la copa sin ramas	2018	R	264	standing004
2	15	01,24	M	9-1	544	471	3.8	1.3	201	NA	2	8188	sin corteza. sin ramas	2018	R	NA	standing005
3	13	02,16	C	8-1	NA	462	18	3.8	26	NA	2	8248	sin ramas. sin corteza. Escalera. Muchas lianas en la copa. Se salió de su base, se mantiene de pie por lianas que lo están sosteniendo	2018	R	NA	standing006
2	16	02.16	F	7-1	234	NA	NA	NA	NA	NA	2	257704	Psecropia. Caido	2018	R	NA	standing007
2	16	02,16	H	7-1	428	419	3.1	1.3	45	NA	1	257916	NA	2018	R	NA	standing008
2	16	216	I	8-1	NA	262	3	1.3	83	NA	NA	258010	Sin ramas. Irregular 153	2018	R	153	standing009
12	16	03,09	A	7-1	NA	NA	NA	1.3	NA	NA	NA	7917	caido	2018	R	NA	standing010
2	16	03,09	A	7-2	369	362	14.7	1.3	26	NA	1	7918	irregular 256.m. Ramas	2018	R	256	standing011
2	16	03,09	C	7-1	346	355	11.9	1.3	27	NA	NA	8043	sin ramas	2018	R	NA	standing012
1	24	03,09	E	6-1	212	215	6	1.3	132	NA	2	251565	La copa ya está sin lianas	2018	R	NA	standing013
2	16	309	N	8-1	NA	393	26.6	1.3	43	NA	NA	268164	ramas	2018	R	NA	standing014
3	13	03,12	A	3-1	666	672	30.5	3.5	151	NA	1	7902	sin corteza. Escalera	2018	R	NA	standing015
2	16	03,12	B	2-1	NA	NA	NA	1.3	NA	NA	NA	247017	no encontrado	2018	R	NA	standing016
2	16	03,12	G	5-1	220	183	NA	1.3	NA	NA	NA	402303	NA	2018	R	NA	standing017
2	16	03,12	H	0-1	353	NA	NA	1.3	NA	NA	NA	8070	caido	2018	R	NA	standing018
2	16	03,12	J	9-1	NA	NA	NA	1.3	NA	NA	NA	NA	Quararibea asterolepis, perdio la mitad del tronco. Sacar de la lista porque todavía tiene una parte viva	2018	R	NA	standing019
2	16	03,12	K	3-1	1570	NA	NA	0.8	NA	NA	NA	NA	caido	2018	R	NA	standing020
2	16	03,12	O	3-1	NA	NA	NA	1.3	NA	NA	NA	13141	Cayo	2018	R	NA	standing021
2	15	03,23	P	7-1	NA	NA	NA	1.3	NA	NA	2	402962	corteza. Caido mide 288	2018	R	288	standing022
2	15	03,23	M	4-1	611	445	0.68	0.34	NA	17	2	7820	Sin corteza. Irregular 168 diametro	2018	R	168	standing023
3	13	05,03	H	3-1	NA	NA	NA	1.3	NA	NA	NA	no tag	No encontrado	2018	R	NA	standing024
3	13	05,03	J	3-1	NA	NA	NA	1.3	NA	NA	NA	7662	caido	2018	R	NA	standing025
2	20	05,03	G	7-1	516	508	1.1	0.55	60	NA	2	7660	corteza	2018	R	NA	standing026
3	13	05,03	O	8-1	NA	888	11.5	3.6	12	NA	2	7621	Escalera. Irregular 860. Sin corteza	2018	R	NA	standing027
2	16	05,12	I	5-1	NA	NA	NA	NA	NA	NA	2	269297	Caido	2018	R	NA	standing028
2	15	05,20	A	7-1	487	423	26.9	1.3	NA	NA	1	238573	sin corteza	2018	R	NA	standing029
2	15	05,20	D	7-1	460	453	15.7	1.50	NA	NA	2	7763	NA	2018	R	NA	standing030
2	15	05,20	N	8-1	NA	243	19.9	1.3	NA	NA	0	238787	corteza. Ramas	2018	R	NA	standing031
2	15	05,20	P	3-1	441	370	19.5	1.3	NA	NA	2	238630	Sin corteza	2018	R	NA	standing032
2	15	05,24	A	8-1	NA	231	2.1	1.3	NA	NA	2	239324	con corteza. Sin ramas	2018	R	NA	standing033
