month	day	subplot_code	transect_section_letter	code_of_piece	diameter_width_prior	diameter_width.mm	diameter_height.mm	penetration.200mm	penetration.200mm.1	branchfall	tag	inclination	orientation_degrees	suspended	soil_contact	notes_prior	notes	RT	RR	TT	TC	TS	TV	MC	MS	year	uniqid
1	31	01,21	M	0-1	468	451	NA	33	NA	1	no tag	17	360	NA	NA	Perdió mucha corteza	NA	NA	NA	*	*	NA	NA	*	NA	2019	fallen001
1	31	01,21	I	8-1	211	213	280	62	NA	0	No tag	13	100	NA	NA	irregular 287 diametro 2. No tag , ubicado fuera del plot	No se sabe de qué arboles	NA	*	NA	NA	NA	NA	*	NA	2019	fallen002
1	31	01,24	O	7.1	233	218	NA	87	NA	1	8190	5	20	NA	NA	Corteza.	NA	NA	NA	*	*	NA	NA	NA	*	2019	fallen003
1	31	02,16	A	6-1	223	223	NA	76	NA	1	8092	10	60	NA	NA	NA	NA	NA	NA	*	NA	*	NA	*	NA	2019	fallen004
1	31	02,16	B	9-1	283	276	NA	23	NA	0	NA	4	55	NA	NA	es la misma muestra de B9-2	NA	NA	*	NA	*	NA	NA	NA	*	2019	fallen005
1	31	02,16	C	19-1	NA	323	NA	96	NA	1	8248	15	40	NA	NA	NA	es el mismo que 19-2	NA	NA	*	*	NA	NA	NA	*	2019	fallen006
1	31	02,16	C	19-2	NA	229	NA	118	NA	1	8248	17	40	NA	NA	NA	NA	NA	NA	*	*	NA	NA	NA	*	2019	fallen007
1	31	02,16	D	9-1	560	551	NA	26	NA	1	no tag	15	260	NA	NA	es la misma muestra que E 9-1. La muestra se rajo	NA	NA	NA	*	*	NA	NA	NA	*	2019	fallen008
1	31	02,16	E	9-1	391	408	NA	116	NA	0	no tag	23	190	NA	NA	es la misma muestra que D 9-1	NA	NA	*	NA	*	NA	NA	NA	*	2019	fallen009
1	31	02,16	F	8-1	243	240	NA	149	NA	1	257704	7	50	NA	NA	tronco. Psecropia	NA	NA	NA	*	*	NA	NA	*	NA	2019	fallen010
1	31	02,16	I	8-1	312	318	NA	72	NA	1	257916	2	70	NA	NA	Tronco	NA	NA	NA	*	NA	*	NA	*	NA	2019	fallen011
1	29	03,09	H	8-1	231	234	NA	184	NA	0	debajo del arbol, no se puede leer	13	360	NA	NA	tronco	Psecropia.	NA	NA	*	*	NA	NA	*	NA	2019	fallen012
1	30	03,12	B	9-1	126	NA	NA	NA	NA	1	no tag	NA	NA	NA	NA	se descompuso todo	NA	NA	NA	*	*	NA	NA	NA	*	2019	fallen013
1	30	03,12	O	9-1	746	NA	NA	NA	NA	1	no tag	NA	NA	NA	NA	se deshizo totalmente	NA	NA	NA	*	*	NA	NA	NA	*	2019	fallen014
1	30	03,12	P	2-1	489	NA	NA	NA	NA	1	no tag	NA	NA	NA	NA	es el mismo que O 9-1 se descompuso  todo	NA	NA	NA	*	*	NA	NA	NA	*	2019	fallen015
1	31	03,23	A	19-1	NA	207	NA	NA	12	1	249574	6	160	NA	NA	NA	Es el mismo que B 19-1.	NA	NA	*	NA	NA	*	*	NA	2019	fallen016
1	31	03,23	B	19-1	NA	211	NA	108	NA	1	249574	4	160	NA	NA	NA	Es el mismo que A 19-1.	NA	NA	*	NA	NA	*	*	NA	2019	fallen017
1	31	03,23	C	19-1	NA	287	NA	90	NA	1	No tag	10	350	NA	NA	NA	Psecropia	NA	NA	*	*	NA	NA	NA	*	2019	fallen018
1	18	05,03	E	8-1	303	307	NA	38	NA	1	7656	14	320	NA	NA	NA	NA	NA	NA	*	NA	*	NA	*	NA	2019	fallen019
1	18	05,03	G	3-1	253	236	NA	40	NA	1	7663	24	30	NA	NA	NA	NA	NA	NA	*	*	NA	NA	NA	*	2019	fallen020
