month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height	POM	penetration.200mm	penetration.200mm.1	branches	tag	notes_prior	notes	MC	MS	year	observer	diameter_two.mm	uniqid
1	31	01,21	G	9-1	493	470	1.4	1.3	50	NA	1	no tag	Sin corteza	sin corrteza	NA	NA	2019	R	162	standing001
2	28	01,21	P	8-1	481	453	15.2	2.8	21	NA	2	8214	escalera. Sin corteza	Parte del resto de la corteza se está abriendo por lo que mide mas	NA	*	2019	R	576	standing002
1	31	01,21	K	8-1	443	441	8.8	1.3	29	NA	2	8207	Irregular 349 diámetro 2	con corteza	NA	NA	2019	R	344	standing003
1	31	01,24	G	8-1	324	NA	15.8	1.3	NA	NA	1	8536	irregular 264 diamtro 2. Muchas lianas en la copa	Árbol no encontrado. Debe estar caído bajo muchas lianas que cayeron al suelo sin ramas	NA	NA	2019	R	NA	standing004
1	31	01,24	G	19-1	NA	581	10.7	1.3	47	NA	2	8535	NA	Corteza	NA	NA	2019	R	474	standing005
1	31	01,24	M	9-1	471	496	3.8	1.3	91	NA	2	8188	sin corteza.	Sin corteza sin ramas	NA	NA	2019	R	418	standing006
1	31	02,16	C	8-1	462	NA	18	3.8	NA	NA	2	8248	sin ramas. sin corteza. Escalera. Muchas lianas en la copa. Se salió de su base, se mantiene de pie por lianas que lo están sosteniendo	Caido	NA	NA	2019	E	NA	standing007
1	31	02,16	H	7-1	419	428	2.7	1.3	55	NA	1	257916	NA	Corteza	NA	NA	2019	R	NA	standing008
1	31	02,16	I	8-1	262	266	2.9	1.3	NA	12	2	258010	Sin ramas. Irregular 153	Sin corteza	NA	NA	2019	R	153	standing009
1	31	02,16	G	19-1	NA	227	9.7	1.3	78	NA	2	258002	NA	corteza	NA	NA	2019	R	145	standing010
1	29	03,09	A	7-2	362	358	13.5	1.3	51	NA	2	7918	irregular 256.m. Ramas	NA	NA	NA	2019	R	251	standing011
1	29	03,09	C	7-1	355	353	11.7	1.3	42	NA	2	8043	sin ramas	NA	NA	NA	2019	R	294	standing012
1	29	03,09	E	6-1	215	192	6	1.3	NA	NA	2	251565	La copa ya está sin lianas	Ya no mide	NA	NA	2019	R	NA	standing013
1	29	03,09	N	8-1	393	393	26.6	1.3	54	NA	1	268164	ramas	Ramas. Sin corteza	NA	NA	2019	R	NA	standing014
2	28	03,12	A	3-1	672	615	30.5	3.5	112	NA	1	7902	sin corteza. Escalera	NA	NA	*	2019	R	717	standing015
1	30	03,12	B	2-1	NA	NA	NA	1.3	NA	NA	NA	247017	no encontrado (nada)	NA	NA	NA	2019	R	NA	standing016
1	30	03,12	G	5-1	183	NA	NA	1.3	NA	NA	NA	402303	No mide	NA	NA	NA	2019	R	NA	standing017
1	30	03,12	J	9-1	vivo	NA	NA	1.3	NA	NA	NA	Vivo	Quararibea asterolepis, perdio la mitad del tronco. Sacar de la lista porque todavía tiene una parte viva	NA	NA	NA	2019	R	NA	standing018
1	31	03,23	M	4-1	445	NA	0.68	0.34	NA	NA	2	7820	Sin corteza. Irregular 168 diametro	NA	NA	NA	2019	R	NA	standing019
1	18	05,03	E	19-1	NA	370	2.9	1.3	35	NA	2	7656	NA	31 grados. Corteza, tiene termitas	NA	NA	2019	R	NA	standing020
1	18	05,03	H	3-1	NA	NA	NA	1.3	NA	NA	NA	no tag	No encontrado	No encontrado	NA	NA	2019	R	NA	standing021
1	18	05,03	G	7-1	508	527	1.1	0.55	80	NA	2	7660	corteza	NA	NA	NA	2019	R	449	standing022
2	28	05,03	O	8-1	888	900	11.5	3.6	13	NA	2	7621	Escalera. Irregular 860. Sin corteza	NA	NA	NA	2019	R	860	standing023
2	1	05,20	A	7-1	NA	422	22.5	1.3	19	NA	1	238573	sin corteza	Sin corteza	NA	NA	2019	R	402	standing024
2	1	05,20	D	7-1	NA	473	15.7	1.50	33	NA	2	7763	NA	sin corteza	NA	NA	2019	R	461	standing025
2	1	05,20	L	19-1	NA	1122	31.9	1.3	69	NA	1	7496	NA	sin corteza. Impactado por rayo el año pasado	NA	NA	2019	R	1070	standing026
2	1	05,20	L	19-2	NA	285	9.5	1.3	47	NA	2	238752	NA	Con corteza. Impactado por rayo el año pasado	NA	NA	2019	R	NA	standing027
2	28	05,20	M	19-1	NA	791	35.3	3.0	99	NA	0	7499	NA	Escalera	*	NA	2019	R	512	standing028
