month	day	subplot_code	transect_section_letter	code_of_piece	diameter_width_prior	diameter_width.mm	diameter_height_prior	diameter_height.mm	penetration.200mm	penetration.200mm.1	branchfall	tag	inclination	orientation_degrees	suspended	soil_contact	notes_prior	notes	RT	RR	TT	TC	TS	TV	MC	MS	year	observer	uniqid
2	7	01,21	M	0-1	451	440	-	-	32	-	1	no tag	7.3	360	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen001
2	7	01,21	I	8-1	213	193	280	-	-	-	0	No tag	13	100	-	*	No se sabe de qué arboles	-	-	*	-	-	-	-	*	NA	2020	R	fallen002
2	7	01,24	O	7.1	218	188	-	-	-	-	1	8190	5	20	-	-	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen003
2	6	02,16	A	6-1	223	225	-	-	-	10	1	8092	1	60	-	*	-	-	-	-	*	-	*	-	*	NA	2020	R	fallen004
2	6	02,16	B	9-1	276	269	-	-	35	-	0	-	4	55	-	*	-	-	-	*	-	*	-	-	NA	*	2020	R	fallen005
2	6	02,16	C	20-1	-	376	-	358	53	-	1	Pegado a 254678	34.5	190	*	-	-	-	-	-	*	*	-	-	*	NA	2020	R	fallen006
2	6	02,16	C	19-1	323	282	-	-	163	-	1	8248	0	40	-	*	es el mismo que 19-2	-	-	-	*	*	-	-	NA	*	2020	R	fallen007
2	6	02,16	C	19-2	229	198	-	-	-	-	1	8248	17	40	-	-	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen008
2	6	02,16	D	9-1	551	535	-	-	26	-	1	no tag	6	260	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen009
2	6	02,16	E	9-1	408	382	-	-	186	-	0	no tag	16	190	-	*	-	-	-	*	-	*	-	-	NA	*	2020	R	fallen010
2	6	02,16	F	8-1	240	60	-	-	-	-	1	257704	7	50	-	*	-	se descompuso	-	-	*	*	-	-	*	NA	2020	R	fallen011
2	6	02,16	H	20-1	-	328	-	-	-	2	1	257916	14	55	-	*	-	-	-	-	-	-	-	-	NA	NA	2020	R	fallen012
2	6	02,16	H	20-2	-	405	-	-	-	2	1	257916	1	80	-	*	-	-	-	-	-	-	-	-	NA	NA	2020	R	fallen013
2	6	02,16	I	8-1	318	301	-	-	177	-	1	257916	2	70	-	-	-	-	-	-	*	*	-	-	*	NA	2020	R	fallen014
2	6	03,09	H	8-1	234	223	-	-	-	2	0	debajo del arbol, no se puede leer	9.5	356	-	*	Psecropia.	-	-	-	*	*	-	-	NA	*	2020	R	fallen015
2	10	03,23	A	19-1	207	211	-	-	-	8	1	249574	6	160	-	*	Es el mismo que B 19-1.	-	-	-	*	-	*	-	*	NA	2020	R	fallen016
2	10	03,23	B	19-1	211	223	-	-	-	18	1	249574	3	160	-	*	Es el mismo que A 19-1.	-	-	-	*	-	*	-	*	NA	2020	R	fallen017
2	10	03,23	B	20-1	-	473	-	-	39	-	1	No tag	8.3000000000000007	4	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen018
2	10	03,23	C	19-1	287	277	-	272	153	-	1	No tag	2.2000000000000002	350	*	-	Psecropia	-	-	-	*	*	-	-	NA	*	2020	R	fallen019
2	5	05,03	E	8-1	307	277	-	231	85	-	1	7656	8.6	296	*	-	-	-	-	-	*	-	*	-	NA	*	2020	R	fallen020
2	5	05,03	G	3-1	236	138	-	-	-	-	1	7663	24	30	-	-	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen021
2	5	05,03	G	8-1	556	528	-	-	44	-	1	240714	12.4	270	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen022
2	5	05,03	J	4-1	218	125	-	-	-	-	1	7618	10	260	-	-	-	-	-	-	*	*	-	-	*	NA	2020	R	fallen023
2	5	05,03	K	6-1	530	489	-	-	52	-	1	7330	3.8	280	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen024
2	5	05,03	M	6-1	560	448	-	-	123	-	1	7330	4.9000000000000004	284	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen025
2	5	05,03	L	8-1	222	213	-	-	50	-	0	7621	1	300	*	-	No toca el suelo	-	*	-	-	-	*	-	NA	*	2020	R	fallen026
2	5	05,03	L	8-2	295	288	-	-	58	-	0	7621	17	310	*	-	No toca el suelo	-	*	-	-	-	*	-	NA	*	2020	R	fallen027
2	5	05,03	L	8-3	399	413	-	-	103	-	1	7621	1	343	*	-	No toca el suelo	-	-	-	*	-	*	-	NA	*	2020	R	fallen028
2	5	05,03	M	8-1	346	343	-	-	49	-	0	7621	2.2000000000000002	343	*	-	No toca el suelo	corregir orientacion es 343	*	-	-	-	*	-	*	NA	2020	R	fallen029
2	5	05,03	M	8-2	539	537	-	-	28	-	1	7621	7.1	345	*	-	No toca el suelo	corregir orientacion es 345	-	-	*	-	*	-	NA	*	2020	R	fallen030
2	5	05,03	M	8-3	310	317	-	-	79	-	0	7621	4	340	*	-	No toca el suelo	-	*	-	-	-	*	-	NA	*	2020	R	fallen031
2	6	05,12	F	2-2	322	376	-	-	187	-	0	no tag	0	210	-	*	-	-	*	-	-	*	-	-	NA	*	2020	R	fallen032
2	7	05,20	A	19-1	268	258	234	122	-	4	1	238678	8	68	*	-	Se pudo medir ahora por que ya no están las lianas que cubrían esta muestra. Es la misma muestra que P7-1	-	-	-	*	*	-	-	NA	*	2020	R	fallen033
2	7	05,20	D	20-1	-	432	-	410	28	-	1	7763	12	290	*	-	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen034
2	7	05,20	E	7-1	-	-	-	-	-	-	0	7766	-	-	-	-	Nada	Nada	-	*	-	-	*	*	NA	*	2020	R	fallen035
2	7	05,20	G	19-1	282	290	-	-	-	2	1	244145	7	270	-	*	-	-	-	-	*	-	-	*	*	NA	2020	R	fallen036
2	7	05,20	L	20-1	-	1170	-	-	75	-	1	7496	5	98	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen037
2	7	05,20	L	20-2	-	292	-	-	67	-	1	238752	6	103	-	*	-	-	-	-	*	*	-	-	*	NA	2020	R	fallen038
2	7	05,20	N	20-1	-	237	-	-	67	-	1	No tag	2	220	-	*	-	-	-	-	*	*	-	-	NA	*	2020	R	fallen039
2	7	05,20	P	7-1	295	253	283	-	113	-	1	238678	3	68	-	*	Es la mis mas muestra que A19-1	no se pudo medir diametro altura porque la muestra se pego al suelo	-	-	*	*	-	-	NA	*	2020	R	fallen040
