month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height	POM	branches	tag	notes_prior	notes	year	observer	uniqid
2	7	01,21	-	-	-	-	-	-	-	-	-	Nada	2020	R	lessstanding001
2	7	01,24	-	-	-	-	-	-	-	-	-	Nada	2020	R	lessstanding002
2	6	02,16	-	-	-	-	-	-	-	-	-	Nada	2020	R	lessstanding003
2	6	03,09	-	-	-	-	-	-	-	-	-	Nada	2020	R	lessstanding004
2	6	03,12	K	20-1	-	94.31	7.6	-	2	403424	-	Nido de hormigas grande	2020	R	lessstanding005
2	10	03,23	-	-	-	-	-	-	-	-	-	Nada	2020	R	lessstanding006
2	5	05,03	O	20-1	-	198	11.5	-	1	235350	-	-	2020	R	lessstanding007
2	6	05,12	-	-	-	-	-	-	-	-	-	Nada	2020	R	lessstanding008
2	7	05,20	-	-	-	-	-	-	-	-	-	Nada	2020	R	lessstanding009
2	10	05,24	-	-	-	-	-	-	-	-	-	Nada	2020	R	lessstanding010
2	5	06,06	-	-	-	-	-	-	-	-	-	Nada	2020	R	lessstanding011
2	5	06,09	-	-	-	-	-	-	-	-	-	Nada	2020	R	lessstanding012
2	5	07,01	K	19-1	-	34.520000000000003	1.3	-	2	225186	-	-	2020	R	lessstanding013
2	6	07,13	-	-	-	-	-	-	-	-	-	Nada	2020	R	lessstanding014
2	10	07,20	-	-	-	-	-	-	-	-	-	Nada	2020	R	lessstanding015
2	5	08,06	-	-	-	-	-	-	-	-	-	Nada	2020	R	lessstanding016
2	6	09,12	C	7-1	-	78.25	5.5	1.3	2	222225	-	se corrigio el tag no es 222226 es 222225	2020	R	lessstanding017
2	10	10,20	G	20-1	-	17.45	2.9	1.3	0	No tag	-	-	2020	R	lessstanding018
2	12	11,08	B	20-1	-	96.86	3.4	1.3	2	206165	-	-	2020	R	lessstanding019
2	12	11,15	B	7-1	-	-	-	1.2	2	511974	la placa es 511974 y no 311974	Nada	2020	R	lessstanding020
2	10	12,23	C	20-1	-	41.19	2.7	1.3	2	812602	-	-	2020	R	lessstanding021
2	12	13,16	N	20-1	-	85.39	2.6	1.3	1	195987-3	-	-	2020	R	lessstanding022
2	12	14,05	B	19-1	-	-	-	0.55	2	714069	-	Caido	2020	R	lessstanding023
2	12	14,11	O	19-1	-	105.97	5.7	1.3	1	191881	-	-	2020	R	lessstanding024
2	12	14,14	-	-	-	-	-	-	-	-	-	Nada	2020	R	lessstanding025
2	11	14,24	K	19-1	-	-	-	1.3	2	195892-2	Segundo tallo	Caido	2020	R	lessstanding026
2	14	15,07	-	-	-	-	-	-	-	-	-	Nada	2020	R	lessstanding027
2	13	16,05	N	19-1	-	-	-	1.3	1	181026	-	Nada	2020	V	lessstanding028
2	14	16,12	O	8-1	-	137	2.2000000000000002	1.3	2	182485	-	-	2020	R	lessstanding029
2	14	16,12	J	20-1	-	39.89	3.6	1.3	2	915314	-	-	2020	R	lessstanding030
2	13	17,01	J	19-1	-	-	-	1.3	2	180379	-	Nada	2020	V	lessstanding031
2	14	17,08	-	-	-	-	-	-	-	-	-	Nada	2020	R	lessstanding032
2	14	18,10	-	-	-	-	-	-	-	-	-	Nada	2020	R	lessstanding033
2	11	18,23	K	20-1	-	119	2.8	1.3	2	173606	2019	2020	2020	R	lessstanding034
2	13	19,02	-	-	-	-	-	-	-	-	2019	Nada	2020	V	lessstanding035
