month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height	POM	penetration.200mm	penetration.200mm.1	branches	tag	notes_prior	notes	bark_present	bark_absent	year	observer	irregular_diameter_prior	diameter_two.mm	uniqid
2	7	01,21	G	9-1	470	412	1.4	1.3	17	-	1	no tag	sin corrteza	-	-	*	2020	R	162	159	standing001
2	7	01,21	I	20-1	-	454	12.3	1.3	82	-	2	8518	-	-	*	-	2020	R	-	342	standing002
2	7	01,21	L	20-1	-	832	9.1	1.3	60	-	2	8208	-	-	*	-	2020	R	-	584	standing003
3	6	01,21	P	8-1	453	468	15.5	2.8	21	-	2	8214	Parte del resto de la corteza se está abriendo por lo que mide mas	escalera	-	*	2020	R	576	580	standing004
2	7	01,21	K	8-1	441	448	9	1.3	88	-	2	8207	con corteza	-	*	-	2020	R	344	347	standing005
2	7	01,24	G	8-1	-	-	-	1.3	-	-	1	8536	Árbol no encontrado. Debe estar caído bajo muchas lianas que cayeron al suelo. Sin ramas	No encontrado	-	-	2020	R	-	sin ramas	standing006
2	7	01,24	G	20-1	-	323	23.5	1.3	81	-	1	8537	-	-	-	*	2020	R	-	-	standing007
2	7	01,24	G	19-1	581	618	12	1.3	61	-	2	8535	Corteza	-	*	-	2020	R	474	451	standing008
2	7	01,24	J	20-1	-	235	5.4	1.3	50	-	2	264309	-	-	-	*	2020	R	-	198	standing009
2	7	01,24	L	20-1	-	427	23.9	1.3	64	-	1	259333	-	-	*	-	2020	R	-	-	standing010
2	7	01,24	M	9-1	496	486	3.5	1.3	37	-	2	8188	Sin corteza. Sin ramas	-	-	*	2020	R	418	413	standing011
2	6	02,16	C	20-1	-	344	6.6	1.3	48	-	2	257848	-	Inclinacion 56.2	-	*	2020	R	-	308	standing012
2	6	02,16	H	7-1	428	-	-	1.3	-	-	1	257916	Corteza	Caido	-	-	2020	R	-	-	standing013
2	6	02,16	I	8-1	266	-	-	1.3	-	-	2	258010	Sin corteza	Caido	-	-	2020	R	153	-	standing014
2	6	02,16	G	19-1	227	-	-	1.3	-	-	2	258002	corteza	Caido	-	-	2020	R	145	-	standing015
2	6	03,09	A	7-2	358	362	13.7	1.3	35	-	2	7918	-	-	-	*	2020	R	251	272	standing016
2	6	03,09	C	7-1	353	357	11.1	1.3	-	18	2	8043	-	-	*	-	2020	R	294	293	standing017
2	6	03,09	I	20-1	-	335	6.4	1.3	28	-	2	8053	-	-	*	-	2020	R	-	303	standing018
2	6	03,09	J	20-1	-	641	22.3	1.3	52	-	1	8048	-	-	*	-	2020	R	-	586	standing019
2	6	03,09	N	8-1	393	399	25.7	1.3	76	-	1	268164	Ramas. Sin corteza	-	-	*	2020	R	-	-	standing020
3	6	03,12	A	3-1	615	589	32.299999999999997	3.5	87	-	1	7902	-	Escalera	-	*	2020	R	717	670	standing021
2	6	03,12	B	20-1	-	218	1.4	1.3	117	-	2	247036	Inclinado  8 grados	-	-	*	2020	R	-	163	standing022
2	10	03,23	A	20-1	-	275	2.2000000000000002	1.3	52	-	2	249574	-	-	*	-	2020	R	-	193	standing023
2	10	03,23	M	4-1	-	-	-	0.34	-	-	2	7820	-	Nada	-	-	2020	R	-	-	standing024
2	5	05,03	E	19-1	370	355	3.4	1.3	43	-	2	7656	31 grados. Corteza, tiene termitas	correccion de inclinacion son 21 grados	*	-	2020	R	-	-	standing025
2	5	05,03	H	3-1	-	-	-	1.3	-	-	-	no tag	No encontrado	No encontrado	-	-	2020	R	-	-	standing026
2	5	05,03	G	7-1	527	525	1.1000000000000001	0.55	-	3	2	7660	-	-	*	-	2020	R	428	-	standing027
3	6	05,03	O	8-1	900	880	11.3	3.6	18	-	2	7621	-	Escalera	-	*	2020	R	860	878	standing028
2	7	05,20	A	7-1	422	453	22.5	1.3	57	-	1	238573	Sin corteza	-	-	*	2020	R	402	399	standing029
2	7	05,20	D	7-1	473	-	-	1.5	-	-	2	7763	sin corteza	caido	-	-	2020	R	461	-	standing030
2	7	05,20	L	19-1	1122	-	-	1.3	-	-	1	7496	sin corteza. Impactado por rayo el año pasado	Caido	-	-	2020	R	1070	-	standing031
2	7	05,20	L	19-2	285	-	-	1.3	-	-	2	238752	Con corteza. Impactado por rayo el año pasado	Caido	-	-	2020	R	-	-	standing032
3	6	05,20	M	19-1	791	787	13.7	3	-	5	0	7499	Escalera	Escalera	*	-	2020	R	512	565	standing033
2	7	05,20	P	3-1	416	419	17.100000000000001	1.3	67	-	2	238630	-	-	-	*	2020	R	-	-	standing034
2	10	05,24	I	20-1	-	551	25.5	1.3	110	-	1	7802	-	-	*	-	2020	R	-	479	standing035
2	10	05,24	J	19-1	222	223	10.5	1.3	103	-	2	239685	con corteza	-	*	-	2020	R	-	-	standing036
2	10	05,24	N	7-1	533	523	16.3	1.3	42	-	2	239534	sin corteza	-	-	*	2020	R	452	453	standing037
2	5	06,06	C	7-1	204	40	-	1.3	-	-	2	no tag	-	se descompuso	-	-	2020	R	158	-	standing038
2	5	06,06	I	5-1	319	-	-	1.3	-	-	2	7592	-	no encontrado	-	-	2020	R	298	-	standing039
2	5	06,06	I	5-2	625	631	8.5	1.3	69	-	2	13123	-	-	*	-	2020	R	589	588	standing040
2	5	07,01	B	3-1	233	240	3	1.3	-	15	2	7311	-	-	-	*	2020	R	-	-	standing041
2	5	07,01	I	7-1	330	276	1.8	1.3	-	5	2	7321	hongos en la corteza	-	*	-	2020	R	191	-	standing042
NA	NA	07,01	K	7-1	-	-	-	1.3	-	-	2	7301	Sigue vivo	Vivo	-	-	2020	R	-	-	standing043
2	6	07,13	B	0-1	223	205	1.1299999999999999	0.57	30	-	2	no tag	-	-	-	*	2020	R	156	127	standing044
3	6	07,13	I	20-1	-	612	9.3000000000000007	3	34	-	2	No tag esta en 0613 entre 24 y 34 mide más de 600 mm	-	Escalera	-	*	2020	R	-	609	standing045
2	5	08,06	M	3-1	442	526	0.83	0.5	-	3	2	7036	-	-	-	*	2020	R	249	306	standing046
2	6	09,12	C	3-1	378	-	-	0.35	-	-	2	222154	-	caido	-	-	2020	R	248	-	standing047
2	10	10,20	G	19-1	423	438	7.8	1.3	35	-	2	6850	con corteza	-	*	-	2020	R	-	379	standing048
2	10	10,20	H	4-1	382	361	12.5	1.3	35	-	2	6849	sin corteza	-	-	*	2020	R	322	314	standing049
2	12	11,08	O	NA	356	-	-	1.3	-	-	2	6563	Con corteza	Caido	-	-	2020	R	279	-	standing050
2	12	11,15	D	7-1	335	150	-	0.55	-	-	2	212912	sin corteza	-	-	-	2020	R	225	-	standing051
2	12	11,15	G	5-1	302	-	-	1.3	-	-	2	6753	corteza	Caido	-	-	2020	R	-	-	standing052
2	12	11,15	J	8-1	386	-	-	0.5	-	-	2	No tag	sin corteza	Caido	-	-	2020	R	215	-	standing053
2	12	11,15	J	7-1	283	288	11.5	1.3	35	-	2	213119	Está en J y no en K. Con corteza. Error en la medida de altura del año pasado	-	-	*	2020	R	-	-	standing054
2	12	11,15	J	19-1	261	257	15.7	1.3	42	-	2	213096	Con corteza	-	-	*	2020	R	-	-	standing055
2	12	11,15	O	6-1	268	-	-	1.3	-	-	2	6532	sin corteza	caido	-	-	2020	R	113	-	standing056
2	12	11,15	O	19-1	227	-	-	0.75	-	-	2	No tag	sin corteza	solo clavo	-	-	2020	R	-	-	standing057
2	12	13,16	A	20-1	-	760	33.700000000000003	1.3	96	-	1	6163	-	-	*	-	2020	R	-	-	standing058
2	12	13,16	G	19-1	379	378	3	1.3	-	11	2	6393	con corteza	34.7 grados inclinacion	*	-	2020	R	288	277	standing059
2	12	13,16	L	20-1	-	239	6.9	1.3	19	-	2	6154	-	-	*	-	2020	R	-	-	standing060
2	12	14,05	B	19-1	263	-	-	1.3	-	-	1	5946	Con corteza	Caido	-	-	2020	R	252	-	standing061
2	12	14,11	E	9-1	385	319	0.71	0.52	-	2	2	No tag	Sin corteza	-	-	*	2020	R	253	246	standing062
2	11	14,24	E	6-1	224	190	-	1.3	-	-	2	6105	-	-	-	-	2020	R	-	-	standing063
2	11	14,24	P	19-1	471	455	1.5	1.3	-	6	2	6081	sin corteza	-	-	-	2020	R	321	280	standing064
2	14	15,07	B	8-1	318	346	0.4	0.2	-	1	2	no tag	Con corteza	-	*	-	2020	R	268	319	standing065
2	14	15,07	G	6-1	559	550	6.7	1.3	-	8	2	5960	-	-	*	-	2020	R	450	451	standing066
2	14	15,07	K	2-1	203	145	-	0.49	-	-	2	415259	esta completamete hueco	-	-	-	2020	R	163	-	standing067
2	13	16,05	L	6-1	135	-	-	0.52	-	-	2	516063	Esta en el suelo	-	-	-	2020	V	-	-	standing068
2	13	16,05	O	5-1	-	-	-	0.28	-	-	2	5637	Se termino de caer	-	-	-	2020	V	-	-	standing069
2	14	16,12	C	2-1	470	473	1.03	0.7	-	1	2	no tag	sin corteza	-	-	*	2020	R	322	210	standing070
2	13	17,01	I	0-1	738	737	0.27	1.3	-	6	2	-	-	6 golpes con corteza	*	-	2020	V	673	-	standing071
2	13	17,01	J	20-1	-	262	7.5	1.3	87	-	1	175172	-	Con  corteza	*	-	2020	V	-	260	standing072
2	14	17,08	N	7-1	257	243	4.5999999999999996	1.3	148	-	2	176354	-	-	*	-	2020	R	252	229	standing073
2	14	18,10	N	2-1	268	-	-	1.8	-	-	2	5329	-	Caido	-	-	2020	R	216	-	standing074
2	11	18,23	O	2-1	563	553	6	1.3	67	-	2	5421	sin corteza	15 grados inclinacion	-	*	2020	R	-	527	standing075
2	13	19,02	M	19-1	253	-	-	0.54	-	-	2	no tag	-	No se encontró  árbol le cayó  encima	-	*	2020	V	107	-	standing076
