month	day	subplot_code	transect_section_letter	code_of_piece	diameter_width_prior	diameter_width.mm	diameter_height_prior	diameter_height.mm	branchfall	tag	inclination	orientation_degrees_prior	orientation_degrees	suspended	soil_contact	notes_prior	notes	RT	RR	TT	TC	TS	TV	MC	MS	year	uniqid
2	25	01,21	M	0-1	440	438	NA	NA	1	no tag	11	360	360	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen001
2	25	01,21	I	8-1	193	NA	NA	NA	0	No tag	NA	100	NA	NA	*	NA	no hay nada se descompuso	NA	*	NA	NA	NA	NA	*	NA	2021	fallen002
2	25	01,24	O	7.1	188	NA	NA	NA	1	8190	NA	20	NA	NA	NA	NA	se descompuso no hay nada	NA	NA	*	*	NA	NA	NA	*	2021	fallen003
2	25	01,24	G	21.1	NA	282	NA	266	NA	8537	4	NA	210	*	NA	NA	NA	NA	NA	*	NA	*	NA	*	NA	2021	fallen004
2	25	02,16	A	6-1	225	227	NA	NA	1	8092	3.6	60	58	NA	*	NA	NA	NA	NA	*	NA	*	NA	*	NA	2021	fallen005
2	25	02,16	B	9-1	269	242	NA	NA	0	NA	8.1	55	60	NA	*	NA	NA	NA	*	NA	*	NA	NA	NA	*	2021	fallen006
2	25	02,16	C	20-1	376	358	358	NA	1	Pegado a 254678	26.2	190	180	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen007
2	25	02,16	C	19-1	282	270	NA	NA	1	8248	8.6	40	55	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen008
2	25	02,16	C	19-2	198	NA	NA	NA	1	8248	NA	40	NA	NA	NA	NA	Nada	NA	NA	*	*	NA	NA	NA	*	2021	fallen009
2	25	02,16	D	9-1	535	539	NA	NA	1	no tag	9.4	260	275	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen010
2	25	02,16	E	9-1	382	367	NA	NA	0	no tag	7.2	190	190	NA	*	NA	NA	NA	*	NA	*	NA	NA	NA	*	2021	fallen011
2	25	02,16	F	8-1	60	NA	NA	NA	1	257704	NA	50	NA	NA	*	se descompuso	Nada	NA	NA	*	*	NA	NA	*	NA	2021	fallen012
2	25	02,16	H	20-1	328	NA	NA	NA	1	257916	NA	55	NA	NA	*	NA	se descompuso	NA	NA	NA	NA	NA	NA	NA	NA	2021	fallen013
2	25	02,16	H	20-2	405	NA	NA	369	1	257916	6.1	80	70	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen014
2	25	02,16	I	8-1	301	230	NA	NA	1	257916	4	70	68	NA	*	NA	NA	NA	NA	*	*	NA	NA	*	NA	2021	fallen015
2	24	03,09	H	8-1	223	205	NA	NA	0	NA	10.3	356	NA	NA	*	NA	debajo del arbol, no se puede leer el tag	NA	NA	*	*	NA	NA	NA	*	2021	fallen016
2	24	03,09	J	21-1	NA	327	NA	272	1	8048	48	NA	40	*	NA	NA	NA	*	NA	NA	NA	*	NA	*	NA	2021	fallen017
2	24	03,12	D	21-1	NA	320	NA	213	1	252102	22.8	NA	100	*	NA	NA	NA	NA	NA	*	NA	*	NA	*	NA	2021	fallen018
2	24	03,12	E	21-1	NA	373	NA	NA	1	No tag	7.5	NA	170	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen019
2	25	03,23	A	19-1	211	NA	NA	NA	1	249574	NA	160	NA	NA	*	NA	Nada  se descompuso	NA	NA	*	NA	*	NA	*	NA	2021	fallen020
2	25	03,23	A	21-1	NA	255	NA	270	1	299734	2	NA	90	NA	*	NA	NA	NA	NA	*	NA	*	NA	NA	*	2021	fallen021
2	25	03,23	B	19-1	223	NA	NA	NA	1	249574	NA	160	NA	NA	*	NA	Nada  se descompuso	NA	NA	*	NA	*	NA	*	NA	2021	fallen022
2	25	03,23	B	20-1	473	472	NA	NA	1	No tag	8	NA	360	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen023
2	25	03,23	C	19-1	277	285	272	253	1	No tag	6	350	348	*	NA	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen024
2	25	03,23	F	21-1	NA	237	NA	216	2	402799	14.5	NA	140	*	NA	NA	NA	NA	*	NA	NA	NA	*	*	NA	2021	fallen025
2	24	05,03	D	21-1	NA	237	NA	NA	0	7655	8.8	NA	70	NA	*	NA	NA	NA	*	NA	NA	NA	*	*	NA	2021	fallen026
2	24	05,03	E	8-1	277	214	231	176	1	7656	15.6	296	320	*	NA	NA	NA	NA	NA	*	NA	*	NA	NA	*	2021	fallen027
2	24	05,03	G	3-1	138	144	NA	NA	1	7663	9.2	30	30	*	NA	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen028
2	24	05,03	G	8-1	528	560	NA	NA	1	240714	9.8	270	266	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen029
2	24	05,03	J	4-1	125	131	NA	139	1	7618	1.7	260	264	*	NA	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen030
2	24	05,03	K	6-1	489	404	NA	NA	1	7330	5.9	280	280	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen031
2	24	05,03	M	6-1	448	447	NA	NA	1	7330	1.5	284	275	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen032
2	24	05,03	L	8-1	213	193	NA	169	0	7621	3.8	300	308	*	NA	NA	NA	*	NA	NA	*	NA	NA	NA	*	2021	fallen033
2	24	05,03	L	8-2	288	290	NA	283	0	7621	35.3	310	312	*	NA	NA	NA	*	NA	NA	*	NA	NA	NA	*	2021	fallen034
2	24	05,03	L	8-3	413	411	NA	NA	1	7621	3.3	343	334	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen035
2	24	05,03	M	8-1	343	344	NA	328	0	7621	3.7	343	336	*	NA	corregir orientacion es 343	NA	*	NA	NA	*	NA	NA	*	NA	2021	fallen036
2	24	05,03	M	8-2	537	534	NA	539	1	7621	29	345	340	*	NA	corregir orientacion es 345	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen037
2	24	05,03	M	8-3	317	270	NA	263	0	7621	56.1	340	340	*	NA	NA	NA	*	NA	NA	*	NA	NA	NA	*	2021	fallen038
2	24	05,03	P	21-1	NA	548	NA	NA	1	7621	5.2	NA	198	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen039
2	24	05,12	F	2-2	376	370	NA	NA	0	no tag	4.6	210	210	NA	*	NA	NA	*	NA	NA	*	NA	NA	NA	*	2021	fallen040
2	25	05,20	A	19-1	258	NA	122	NA	1	238678	NA	NA	NA	*	NA	NA	se descompuso	NA	NA	*	*	NA	NA	NA	*	2021	fallen041
2	25	05,20	D	20-1	432	410	410	423	1	7763	10	290	288	*	NA	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen042
2	25	05,20	E	7-1	NA	NA	NA	NA	0	7766	NA	NA	NA	NA	NA	Nada	no hay nada	NA	*	NA	NA	*	*	NA	*	2021	fallen043
2	25	05,20	G	19-1	290	248	NA	NA	1	244145	1	270	270	NA	*	NA	NA	NA	NA	*	NA	NA	*	*	NA	2021	fallen044
2	25	05,20	L	20-1	NA	851	NA	NA	1	7496	8	98	110	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen045
2	25	05,20	L	20-2	292	248	NA	NA	1	238752	6	103	110	NA	*	NA	NA	NA	NA	*	*	NA	NA	*	NA	2021	fallen046
2	25	05,20	N	20-1	237	234	NA	NA	1	No tag	4.5	220	228	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen047
2	25	05,20	P	7-1	253	67	NA	NA	1	238678	1	68	70	NA	*	no se pudo medir diametro altura porque la muestra se pego al suelo	se esta descomponiendo	NA	NA	*	*	NA	NA	NA	*	2021	fallen048
2	25	05,20	M	21-1	NA	876	NA	NA	1	7499	0	NA	160	NA	*	NA	este árbol fue impactado por rayo	NA	NA	*	*	NA	NA	NA	*	2021	fallen049
2	25	05,24	B	7-1	400	NA	NA	NA	0	7475	NA	70	NA	NA	*	se abrio	Nada se descompuso	*	NA	NA	NA	NA	*	NA	*	2021	fallen050
2	25	05,24	G	4-1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Nada	Nada	NA	NA	*	*	NA	NA	*	NA	2021	fallen051
2	25	05,24	G	5-1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Nada	Nada	NA	NA	*	*	NA	NA	NA	*	2021	fallen052
2	24	06,06	A	NA	132	128	NA	NA	1	no tag	18	290	290	NA	*	Se descompuso	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen053
2	24	06,06	D	4-1	390	433	NA	399	0	NA	8.1	267	278	NA	*	NA	NA	NA	*	NA	*	NA	NA	NA	*	2021	fallen054
2	24	06,06	E	20-1	205	190	NA	NA	0	7680	7.1	144	160	NA	*	NA	NA	NA	*	NA	NA	*	NA	*	NA	2021	fallen055
2	24	06,06	H	7-1	235	199	NA	NA	1	7592	7.5	243	250	NA	*	NA	NA	NA	NA	*	NA	*	NA	NA	*	2021	fallen056
2	24	06,06	I	5-1	227	225	NA	NA	1	13123	10.4	288	290	NA	*	NA	NA	NA	NA	*	NA	*	NA	NA	*	2021	fallen057
2	24	06,06	N	8-1	195	NA	NA	NA	1	No tag	NA	NA	NA	NA	NA	NA	Nada	NA	NA	*	*	NA	NA	NA	*	2021	fallen058
2	24	06,09	C	6-1	173	NA	NA	NA	1	NA	NA	330	NA	NA	NA	NA	Nada	NA	NA	*	*	NA	NA	NA	*	2021	fallen059
2	24	06,09	D	6-1	227	NA	230	NA	1	no tag	NA	275	NA	*	NA	NA	Nada	NA	NA	*	*	NA	NA	NA	*	2021	fallen060
2	24	06,09	E	19-1	641	640	NA	NA	0	no tag	18.6	325	322	NA	*	NA	NA	*	NA	NA	*	NA	NA	*	NA	2021	fallen061
2	24	06,09	D	19-1	507	337	NA	283	0	no tag	63.2	360	320	*	NA	NA	NA	*	NA	NA	*	NA	NA	NA	*	2021	fallen062
2	24	06,09	G	8-1	110	NA	NA	NA	0	7570	NA	340	NA	NA	NA	se descompuso	Nada	NA	*	NA	*	NA	NA	*	NA	2021	fallen063
2	24	06,09	G	8-2	380	351	NA	NA	1	7570	4.4	270	260	NA	*	NA	NA	NA	NA	*	*	NA	NA	*	NA	2021	fallen064
