month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height	POM	branches	tag	notes_prior	notes	year	observer	other_people	paint_color	tape_color	forest_fires	uniqid
2	25	01,21	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	V	NA	NA	NA	NA	lessstanding001
2	25	01,21	C	21-1	NA	143	9.5	1.3	NA	263554	NA	NA	2021	V	NA	NA	NA	NA	lessstanding002
2	25	01,24	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	V	NA	NA	NA	NA	lessstanding003
2	24	02,16	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding004
2	24	03,09	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding005
2	24	03,12	K	20-1	94.31	NA	NA	NA	2	403424	Nido de hormigas grande	Caido	2021	E	NA	NA	NA	NA	lessstanding006
2	24	03,12	K	21-1	NA	135	5.6	1.3	2	252410	NA	NA	2021	E	NA	NA	NA	NA	lessstanding007
2	25	03,23	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding008
2	24	05,03	N	21-1	NA	58.59	1.09	0.55000000000000004	2	235551	NA	NA	2021	E	NA	Pink	NA	NA	lessstanding009
2	24	05,03	O	20-1	198	182	2.8	1.3	2	235350	NA	NA	2021	E	NA	NA	NA	NA	lessstanding010
2	24	05,12	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding011
2	25	05,20	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	V	NA	NA	NA	NA	lessstanding012
2	25	05,24	NA	NA	NA	NA	NA	NA	NA	NA	Nada	nada	2021	V	NA	NA	NA	NA	lessstanding013
2	24	06,06	J	21-1	NA	20.61	2.6	1.3	2	236194	Nada	Termitas	2021	E	NA	NA	NA	NA	lessstanding014
2	24	06,09	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nda	2021	E	NA	NA	NA	NA	lessstanding015
2	24	07,01	K	19-1	34.52	NA	NA	NA	2	225186	NA	Nada	2021	E	NA	Orange	NA	NA	lessstanding016
2	24	07,13	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding017
2	26	07,20	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	V	NA	NA	NA	NA	lessstanding018
2	26	07,20	J	21-1	NA	60.73	2.65	1.3	2	271340	NA	NA	2021	V	NA	NA	NA	NA	lessstanding019
2	24	08,06	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding020
2	24	09,12	C	7-1	78.25	78.63	5.5	1.3	2	222225	se corrigio el tag no es 222226 es 222225	NA	2021	E	NA	NA	NA	NA	lessstanding021
2	26	10,20	G	20-1	17.45	NA	NA	1.3	0	No tag	NA	Nada	2021	V	NA	NA	NA	NA	lessstanding022
3	2	11,08	B	20-1	96.86	NA	NA	1.3	2	206165	NA	Caido	2021	E	NA	NA	NA	NA	lessstanding023
3	2	11,15	K	21-1	NA	63.6	2.5	1.2	2	207808	NA	NA	2021	E	NA	NA	NA	NA	lessstanding024
2	26	12,23	C	20-1	41.19	NA	NA	1.3	2	812602	NA	nada	2021	V	NA	NA	NA	NA	lessstanding025
2	26	12,23	C	21-1	59.83	NA	5	1.3	2	209090	NA	NA	2021	V	NA	NA	NA	NA	lessstanding026
1	2	13,16	N	20-1	85.39	81.05	2.6	1.3	1	195987-3	NA	NA	2021	E	NA	NA	NA	NA	lessstanding027
3	2	14,05	N	21-1	NA	19.079999999999998	2.4	1.3	2	714090	NA	NA	2021	E	NA	NA	NA	NA	lessstanding028
3	2	14,11	O	19-1	105.97	NA	NA	1.3	1	191881	NA	Caido	2021	E	NA	NA	NA	NA	lessstanding029
3	2	14,14	J	21-1	NA	80.75	1.7	1..5	2	No tag	Nada	Inclinado 45 grados	2021	E	NA	NA	NA	NA	lessstanding030
2	26	14,24	K	19-1	NA	NA	NA	1.3	2	195892-2	Caido	Nada	2021	V	NA	NA	NA	NA	lessstanding031
3	2	15,07	O	21-1	NA	36.24	3.2	1.3	2	No tag	Nada	NA	2021	E	NA	NA	NA	NA	lessstanding032
3	2	16,05	N	19-1	NA	NA	NA	1.3	1	181026	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding033
3	2	16,12	O	8-1	137	139	2.2	1.3	2	182485	NA	NA	2021	E	NA	NA	NA	NA	lessstanding034
3	2	16,12	J	20-1	39.89	NA	NA	1.3	2	915314	NA	caido	2021	E	NA	NA	NA	NA	lessstanding035
3	2	17,01	J	19-1	NA	NA	NA	1.3	2	180379	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding036
3	2	17,08	NA	NA	NA	NA	NA	NA	NA	NA	Nada	NA	2021	E	NA	NA	NA	NA	lessstanding037
3	2	18,10	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding038
3	3	18,23	K	20-1	119	116	2.7	1.3	2	173606	2020	NA	2021	E	NA	NA	NA	NA	lessstanding039
3	3	18,23	G	21-1	NA	29.46	3.5	1.3	2	No tag	NA	NA	2021	E	NA	NA	NA	NA	lessstanding040
