month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height	POM	branches	tag	notes_prior	notes	MC	MS	year	observer	irregular_diameter_prior	diameter_two.mm	uniqid
2	25	01,21	G	9-1	412	NA	NA	1.3	1	no tag	NA	Caido	NA	*	2021	V	159	NA	standing001
2	25	01,21	I	20-1	454	459	13.6	1.3	2	8518	NA	NA	*	NA	2021	V	342	336	standing002
2	25	01,21	L	20-1	832	798	10.5	1.3	2	8208	NA	NA	*	NA	2021	V	584	619	standing003
3	10	01,21	P	8-1	468	462	17.6	2.8	2	8214	escalera	Escalera	NA	*	2021	V	580	533	standing004
2	25	01,21	K	8-1	448	435	8.1	1.3	2	8207	NA	NA	*	NA	2021	V	347	345	standing005
2	25	01,24	G	8-1	NA	333	1.6	1.3	2	8536	NA	NA	NA	*	2021	V	sin ramas	282	standing006
2	25	01,24	G	20-1	323	359	3.5	1.3	1	8537	NA	NA	NA	*	2021	V	NA	NA	standing007
2	25	01,24	G	19-1	618	607	11.6	1.3	2	8535	NA	NA	*	NA	2021	V	451	481	standing008
2	25	01,24	J	20-1	235	241	4.84	1.3	2	264309	NA	NA	NA	*	2021	V	198	298	standing009
2	25	01,24	L	20-1	427	433	23.6	1.3	1	259333	NA	NA	*	NA	2021	V	NA	419	standing010
2	25	01,24	L	21-1	NA	249	0.8	0.4	2	259312	NA	NA	NA	*	2021	V	NA	212	standing011
2	24	01,24	M	9-1	486	492	3.4	1.3	2	8188	NA	NA	NA	*	2021	V	413	372	standing012
2	25	02,16	C	20-1	344	NA	NA	1.3	2	257848	Inclinacion 56.2	Caido	NA	*	2021	V	308	NA	standing013
2	25	02,16	H	7-1	NA	NA	NA	1.3	1	257916	Caido	Caido	NA	NA	2021	V	NA	NA	standing014
2	25	02,16	I	8-1	NA	NA	NA	1.3	2	258010	Caido	Caido	NA	NA	2021	V	NA	NA	standing015
2	25	02,16	G	19-1	NA	NA	NA	1.3	2	258002	Caido	Caido	NA	NA	2021	V	NA	NA	standing016
2	25	02,16	O	21,1	NA	285	6.3	1.3	1	802138	NA	NA	*	NA	2021	V	NA	195	standing017
2	24	03,09	A	7-2	362	345	7.6	1.3	2	7918	NA	NA	NA	*	2021	E	272	268	standing018
2	24	03,09	C	7-1	357	338	12.2	1.3	2	8043	NA	NA	*	NA	2021	E	293	296	standing019
2	24	03,09	D	21-1	NA	468	21.32	1.3	1	8040	NA	NA	*	NA	2021	E	NA	372	standing020
2	24	03,09	I	20-1	335	358	8.5	1.3	2	8053	NA	NA	*	NA	2021	E	303	316	standing021
2	24	03,09	I	21-1	353	NA	13.5	1.3	2	8050	NA	NA	*	NA	2021	E	NA	313	standing022
2	24	03,09	J	20-1	641	669	17	1.3	1	8048	NA	NA	NA	*	2021	E	586	575	standing023
2	24	03,09	N	8-1	399	378	26.8	1.3	1	268164	NA	NA	NA	*	2021	E	NA	NA	standing024
2	24	03,09	N	21-1	NA	212	15.7	1.3	2	268197	NA	NA	*	NA	2021	E	NA	NA	standing025
3	10	03,12	A	3-1	589	586	35.7	3.5	1	7902	Escalera	Escalera	NA	*	2021	E	670	639	standing026
2	24	03,12	B	20-1	218	NA	NA	1.3	2	247036	NA	Caido	NA	*	2021	E	163	NA	standing027
2	24	03,12	E	21-1	NA	258	0.53	0.27	2	252102	NA	NA	*	NA	2021	E	NA	243	standing028
2	25	03,23	A	20-1	275	272	2.2	1.3	2	249574	NA	NA	*	NA	2021	V	193	202	standing029
2	25	03,23	C	21-1	NA	330	17.1	1.3	1	802380	NA	NA	*	NA	2021	V	NA	NA	standing030
2	25	03,23	M	4-1	NA	NA	NA	0.34	2	7820	Nada	Nada	NA	NA	2021	V	NA	NA	standing031
2	24	05,03	E	19-1	355	368	3.2	1.3	2	7656	correccion de inclinacion son 21 grados	NA	*	NA	2021	E	NA	304	standing032
2	24	05,03	H	3-1	NA	NA	NA	1.3	NA	no tag	No encontrado	No encontrado	NA	NA	2021	E	NA	NA	standing033
2	24	05,03	G	7-1	525	508	1.16	0.55	2	7660	NA	NA	*	NA	2021	E	NA	399	standing034
2	24	05,03	O	8-1	880	NA	NA	3.6	2	7621	Escalera	Caido	NA	*	2021	E	878	NA	standing035
2	25	05,20	A	7-1	453	457	27.1	1.3	1	238573	NA	medir altura	NA	*	2021	V	399	385	standing036
2	25	05,20	D	7-1	NA	NA	NA	1.5	2	7763	caido	caido	NA	NA	2021	V	NA	NA	standing037
2	25	05,20	L	19-1	NA	NA	NA	1.3	1	7496	caido	caido	NA	NA	2021	V	NA	NA	standing038
2	25	05,20	L	19-2	NA	NA	NA	1.3	2	238752	Caido	caido	NA	NA	2021	V	NA	NA	standing039
3	10	05,20	M	19-1	787	NA	NA	3	0	7499	Escalera	Caido	*	NA	2021	V	565	NA	standing040
2	25	05,20	P	3-1	419	367	18.6	1.3	2	238630	NA	NA	NA	*	2021	V	NA	358	standing041
2	25	05,20	J	21-1	NA	243	15.6	1.3	1	269635	NA	NA	*	NA	2021	V	NA	NA	standing042
2	25	05,20	K	21-1	NA	278	13.1	1.3	1	7497	NA	NA	*	NA	2021	V	248	NA	standing043
2	25	05,20	L	21-1	NA	360	1.27	0.75	1	7496	NA	NA	NA	NA	2021	V	236	NA	standing044
2	25	05,24	I	20-1	551	556	7.8	1.3	1	7802	NA	NA	*	NA	2021	V	479	538	standing045
2	25	05,24	J	19-1	223	223	9	1.3	2	239685	NA	NA	*	NA	2021	V	NA	NA	standing046
2	25	05,24	N	7-1	523	513	17.1	1.3	2	239534	NA	NA	NA	*	2021	V	453	453	standing047
2	24	06,06	C	7-1	40	NA	NA	1.3	2	no tag	se descompuso	Nada	NA	NA	2021	E	NA	NA	standing048
2	24	06,06	I	5-1	NA	NA	NA	1.3	2	7592	no encontrado	No se encontro	NA	NA	2021	E	NA	NA	standing049
2	24	06,06	I	5-2	631	573	9.5	1.3	2	13123	NA	NA	*	NA	2021	E	588	545	standing050
2	24	06,06	O	21-1	NA	528	22.2	1.3	1	7343	NA	NA	*	NA	2021	E	NA	443	standing051
2	24	07,01	B	3-1	240	236	1.5	1.3	2	7311	NA	NA	NA	*	2021	E	NA	225	standing052
2	24	07,01	I	7-1	276	80	NA	1.3	2	7321	NA	Solo son restos de la corteza lo que se encontro en el suelo 2021	*	NA	2021	E	NA	NA	standing053
2	24	07,13	B	0-1	205	139	1.1	0.57	2	no tag	NA	Solo queda una parte delgada del tronco	NA	*	2021	E	127	32	standing054
3	10	07,13	I	20-1	612	612	8	3	2	No tag esta en 0613 entre 24 y 34 mide más de 600 mm	Escalera	escalera	NA	*	2021	E	609	619	standing055
2	24	07,13	J	21-1	NA	266	12.5	1.3	2	7401	NA	NA	*	NA	2021	E	NA	NA	standing056
2	26	07,20	O	21-1	NA	492	19.1	1.3	0	7177	NA	Fue impactado por rayo	*	NA	2021	V	NA	425	standing057
2	26	07,20	P	21-1	NA	486	26.6	1.3	0	228511	NA	Fue impactado por rayo	*	NA	2021	V	NA	412	standing058
2	26	07,20	P	21-1	NA	397	12.1	1.3	1	7185	NA	Fue impactado por rayo	*	NA	2021	V	NA	NA	standing059
