month	day	subplot_code	transect_section_letter	code_of_piece	diameter_width_prior	diameter_width.mm	diameter_height_prior	diameter_height.mm	branchfall	tag	inclination_prior	inclination	orientation_degrees_prior	orientation_degrees	suspended	soil_contact	notes_prior	notes	RT	RR	TT	TC	TS	TV	MC	MS	year	observer	uniqid
2	7	01,21	M	0-1	438	410	NA	331	1	no tag	11	12.5	360	360	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2022	E	fallen001
2	7	01,21	I	8-1	NA	NA	NA	NA	0	No tag	NA	NA	NA	NA	NA	*	no hay nada se descompuso	Nada	NA	*	NA	NA	NA	NA	*	NA	2022	E	fallen002
2	7	01,24	O	7.1	NA	NA	NA	NA	1	8190	NA	NA	NA	NA	NA	NA	se descompuso no hay nada	Nada	NA	NA	*	*	NA	NA	NA	*	2022	E	fallen003
2	7	01,24	G	21.1	282	NA	266	NA	NA	8537	4	NA	210	NA	*	NA	NA	No se puede medir. El arbol 8535 cayo sobre esta muestra	NA	NA	*	NA	*	NA	*	NA	2022	E	fallen004
2	7	01,24	M	22-1	NA	353	NA	347	1	259333	NA	22.4	NA	226	*	NA	NA	NA	NA	NA	*	*	NA	NA	NA	*	2022	E	fallen005
2	8	02,16	A	6-1	227	257	NA	NA	1	8092	3.6	2.2	58	125	NA	*	NA	NA	NA	NA	*	NA	*	NA	*	NA	2022	E	fallen006
2	8	02,16	B	9-1	242	223	NA	NA	0	NA	8.1	4.6	60	80	NA	*	NA	NA	NA	*	NA	*	NA	NA	NA	*	2022	E	fallen007
2	8	02,16	C	20-1	358	332	NA	NA	1	NA	26.2	12.6	180	180	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2022	E	fallen008
2	8	02,16	C	19-1	270	179	NA	NA	1	8248	8.6	5.4	55	62	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2022	E	fallen009
2	8	02,16	C	19-2	NA	NA	NA	NA	1	8248	NA	NA	NA	NA	NA	NA	Nada	Nada	NA	NA	*	*	NA	NA	NA	*	2022	E	fallen010
2	8	02,16	D	9-1	539	490	NA	NA	1	no tag	9.4	4.8	275	275	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2022	E	fallen011
2	8	02,16	D	22-1	NA	288	NA	279	1	no tag	NA	25	NA	82	*	NA	NA	El arbol esta en el 00,14	NA	NA	*	NA	NA	NA	*	NA	2022	E	fallen012
2	8	02,16	E	9-1	367	354	NA	329	0	no tag	7.2	5.9	190	190	NA	*	NA	NA	NA	*	NA	*	NA	NA	NA	*	2022	E	fallen013
2	8	02,16	H	20-1	NA	NA	NA	NA	1	257916	NA	NA	NA	NA	NA	*	se descompuso	Nada	NA	NA	NA	NA	NA	NA	NA	NA	2022	E	fallen014
2	8	02,16	H	20-2	NA	NA	369	NA	1	257916	6.1	NA	70	NA	NA	*	NA	Solo clavo	NA	NA	*	*	NA	NA	NA	*	2022	E	fallen015
2	8	02,16	I	8-1	230	NA	NA	NA	1	257916	4	NA	68	NA	NA	*	NA	Nada	NA	NA	*	*	NA	NA	*	NA	2022	E	fallen016
