month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height_prior	height	POM	branches	tag	notes_prior	notes	year	observer	other_people	paint_color	tape_color	forest_fires	uniqid
2	8	01,21	C	21-1	153	154	12	1.9	1.3	2	263554	NA	NA	2023	E	NA	NA	NA	NA	lessstanding001
2	8	01,24	G	23-1	NA	50.41	NA	5.65	1.3	2	900441	Nada	NA	2023	E	NA	Pink	NA	NA	lessstanding002
2	10	02,16	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2023	E	NA	NA	NA	NA	lessstanding003
2	10	03,09	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2023	E	NA	NA	NA	NA	lessstanding004
2	10	03,12	K	21-1	135	NA	2.6	NA	1.3	2	252410	Sin corteza	Nada	2023	E	NA	NA	NA	NA	lessstanding005
2	10	03,12	B	23-1	NA	85.56	NA	8.4	1.3	NA	903338	NA	Tallo1	2023	E	NA	NA	NA	NA	lessstanding006
2	10	03,12	B	23-1	NA	24.53	NA	4.9	1.3	NA	903338	NA	Tallo2	2023	E	NA	NA	NA	NA	lessstanding007
2	8	03,23	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2023	E	NA	NA	NA	NA	lessstanding008
2	13	05,03	N	21-1	NA	NA	NA	NA	0.55000000000000004	2	235551	Nada  Solo se encontro la cinta	Nada	2023	E	NA	Pink	NA	NA	lessstanding009
2	13	05,03	O	20-1	NA	NA	NA	NA	1.3	2	235350	Se cayó	Nada	2023	E	NA	NA	NA	NA	lessstanding010
2	9	05,12	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2023	E	NA	NA	NA	NA	lessstanding011
2	8	05,20	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2023	E	NA	NA	NA	NA	lessstanding012
2	8	05,24	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2023	E	NA	NA	NA	NA	lessstanding013
2	13	06,06	J	21-1	NA	NA	NA	NA	1.3	2	236194	Nada	Nada	2023	V	NA	NA	NA	NA	lessstanding014
2	10	06,09	B	23-1	NA	56.33	NA	8	1.3	1	231349	NA	Nada	2023	E	NA	NA	NA	NA	lessstanding015
2	13	07,01	K	19-1	NA	NA	NA	NA	NA	2	225186	Nada	Nada	2023	E	NA	Orange	NA	NA	lessstanding016
2	9	07,13	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2023	E	NA	NA	NA	NA	lessstanding017
2	8	07,20	J	21-1	58	NA	2.6	NA	1.3	2	271340	NA	Nada	2023	E	NA	NA	NA	NA	lessstanding018
2	10	08,06	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2023	E	NA	NA	NA	NA	lessstanding019
2	9	09,12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nada	2023	E	NA	NA	NA	NA	lessstanding020
2	9	10,20	G	20-1	NA	NA	NA	NA	1.3	0	No tag	Nada	Nada	2023	E	NA	NA	NA	NA	lessstanding021
2	9	10,20	G	22-1	79.52	79.19	5.9	1.4	1.3	2	218912	NA	NA	2023	E	NA	NA	NA	NA	lessstanding022
2	9	10,20	J	23-1	NA	58.31	NA	7.1	1.3	2	1020312	NA	NA	2023	E	NA	NA	NA	NA	lessstanding023
2	9	10,20	C	23-1	NA	41.77	NA	6.8	1.3	1	1020257	NA	NA	2023	E	NA	NA	NA	NA	lessstanding024
2	14	11,08	B	20-1	NA	NA	NA	NA	1.3	2	206165	sacar de lista	sacar de lista	2023	V	NA	NA	NA	NA	lessstanding025
2	14	11,08	G	23-1	NA	103	NA	1.6	1.3	1	511615	NA	tenia banda	2023	V	NA	NA	NA	NA	lessstanding026
2	15	11,15	K	21-1	71.31	NA	2	NA	1.2	2	207808	NA	Se cayó	2023	V	NA	NA	NA	NA	lessstanding027
2	15	12,23	C	20-1	NA	NA	NA	NA	1.3	2	812602	Nada	Sacar de lista	2023	V	NA	NA	NA	NA	lessstanding028
2	15	12,23	C	21-1	NA	NA	NA	NA	1.3	2	209090	Nada	Sacar de lista	2023	V	NA	NA	NA	NA	lessstanding029
2	15	12,23	J	22-1	20.11	NA	2.2	NA	1.3	1	805495	NA	Nada	2023	V	NA	NA	NA	NA	lessstanding030
2	15	12,23	K	22-1	31.4	NA	2.4	NA	1.3	2	812298	NA	Nada	2023	V	NA	NA	NA	NA	lessstanding031
2	15	13,16	N	20-1	80.59	75.97	1.57	2.2	1.3	1	195987-3	NA	NA	2023	V	NA	NA	NA	NA	lessstanding032
2	13	14,05	N	21-1	NA	NA	NA	NA	1.3	2	714090	Nada	nada	2023	V	NA	NA	NA	NA	lessstanding033
2	15	14,11	NA	NA	NA	NA	NA	NA	1.3	1	191881	Nada	Nada	2023	V	NA	NA	NA	NA	lessstanding034
2	15	14,14	J	21-1	80.28	NA	1.4	NA	1..5	2	No tag	NA	Se cayó	2023	V	NA	NA	NA	NA	lessstanding035
2	15	14,14	C	23-1	NA	39.13	NA	2.6	1.3	2	913295	NA	NA	2023	V	NA	NA	NA	NA	lessstanding036
2	15	14,24	K	19-1	NA	NA	NA	NA	1.3	2	195892-2	Nada	Nada	2023	V	NA	NA	NA	NA	lessstanding037
2	14	15,07	O	21-1	NA	NA	NA	NA	1.3	2	No tag	NA	nada	2023	V	NA	NA	NA	NA	lessstanding038
2	13	16,05	G	NA	NA	30.94	NA	2	1.3	NA	no tag	NA	NA	2023	V	NA	NA	NA	NA	lessstanding039
2	15	16,12	O	8-1	137	130	2.1	NA	1.3	2	182485	NA	Esta muestra está en N	2023	V	NA	NA	NA	NA	lessstanding040
2	15	16,12	J	20-1	NA	NA	NA	NA	1.3	2	915314	Nada	Nada	2023	V	NA	NA	NA	NA	lessstanding041
2	13	17,01	NA	NA	NA	NA	NA	NA	1.3	NA	NA	Nada	Nada	2023	E	NA	NA	NA	NA	lessstanding042
2	14	17,08	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2023	V	NA	NA	NA	NA	lessstanding043
2	14	18,10	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2023	V	NA	NA	NA	NA	lessstanding044
2	15	18,23	K	20-1	98	NA	2.6	NA	1.3	2	173606	NA	se cayo	2023	V	NA	NA	NA	NA	lessstanding045
2	15	18,23	G	21-1	NA	NA	NA	NA	1.3	2	No tag	Caido	Sacar de lista	2023	V	NA	NA	NA	NA	lessstanding046
2	13	19,02	J	21-1	98	86	3	2.6	1.3	2	170365-1	NA	NA	2023	E	NA	NA	NA	NA	lessstanding047
2	13	19,06	J	22-1	151	141.53	11.1	3.8	1.3	1	170980	NA	NA	2023	V	NA	NA	NA	NA	lessstanding048
2	14	19,08	B	19-1	NA	NA	NA	NA	1.3	2	166069	Nada	Nada	2023	V	NA	NA	NA	NA	lessstanding049
2	14	19,12	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2023	V	NA	NA	NA	NA	lessstanding050
2	16	19,19	F	20-1	NA	NA	NA	NA	1.3	1	172752-1	Nada	Nada sacar de lista	2023	V	NA	NA	NA	NA	lessstanding051
2	16	19,19	F	20-2	NA	NA	NA	NA	1.3	2	172752-2	Nada	Nada sacar de lista	2023	V	NA	NA	NA	NA	lessstanding052
2	16	19,19	K	21-1	NA	NA	NA	NA	1.3	2	167652	Caido	Nada sacar de lista	2023	V	NA	NA	NA	NA	lessstanding053
