month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height_prior	height	POM	branches	tag	notes_prior	notes	bark_present	bark_absent	year	observer	irregular_diameter_prior	diameter_two.mm	uniqid
2	8	01,21	I	20-1	446	367	6.5	1.08	0.54	2	8518	NA	NA	*	NA	2023	E	337	197	standing001
2	8	01,21	K	8-1	379	315	1.1	1.1	0.55	2	8207	se cayo parte del tronco	NA	*	NA	2023	E	334	283	standing002
2	8	01,21	L	20-1	799	804	10.5	10.3	1.3	2	8208	NA	NA	*	NA	2023	E	587	610	standing003
3	10	01,21	P	8-1	479	462	15.1	15.1	2.8	2	8214	Escalera	NA	NA	*	2023	E	523	483	standing004
2	8	01,24	L	21-1	273	NA	0.85	NA	0.4	2	259312	NA	se descompuso	NA	*	2023	E	210	NA	standing005
2	8	01,24	M	9-1	429	412	2.9	2.9	1.3	2	8188	NA	NA	NA	*	2023	E	374	374	standing006
2	10	02,16	N	22-1	328	328	5.7	5	1.3	2	253219	tenia banda de metal	NA	*	NA	2023	E	NA	338	standing007
2	10	02,16	F	23-1	NA	294	NA	13.4	1.5	2	257727	NA	NA	*	NA	2023	E	NA	302	standing008
2	10	03,09	A	7-2	356	NA	7.2	NA	1.3	2	7918	NA	Caido	NA	*	2023	E	261	NA	standing009
3	10	03,09	D	21-1	467	434	6.8	6.7	1.3	2	8040	siempre ha tenido corteza, correguir censo anterior	se partio	*	NA	2023	E	355	366	standing010
2	10	03,09	I	20-1	347	NA	7.6	NA	1.3	2	8053	NA	Caido	*	NA	2023	E	293	NA	standing011
2	10	03,09	I	21-1	335	345	9.8	9.6	1.3	2	8050	NA	NA	*	NA	2023	E	276	266	standing012
2	10	03,09	J	20-1	642	580	17.8	17.1	1.3	1	8048	NA	NA	NA	*	2023	E	587	561	standing013
3	10	03,09	L	23-1	NA	304	NA	5.5	3	2	268184	NA	Escalera	NA	NA	2023	E	NA	NA	standing014
2	10	03,09	N	8-1	363	356	24.2	22.2	1.3	1	268164	NA	NA	NA	*	2023	E	NA	329	standing015
2	10	03,09	N	21-1	206	213	14.8	4.1	1.3	2	268197	NA	NA	*	NA	2023	E	NA	199	standing016
3	10	03,12	A	3-1	592	595	34.5	35.4	3.5	1	7902	Escalera	NA	NA	*	2023	E	645	579	standing017
2	10	03,12	E	21-1	243	250	0.51	0.51	0.27	2	252102	NA	NA	NA	*	2023	E	213	208	standing018
2	10	03,12	F	23-1	NA	205	NA	2.6	1.3	2	8067	NA	NA	NA	NA	2023	E	NA	183	standing019
2	13	05,03	E	19-1	335	358	2.9	3	1.3	2	7656	NA	NA	*	NA	2023	E	271	270	standing020
2	13	05,03	G	7-1	418	399	1.1	1.24	0.55	2	7660	NA	NA	*	NA	2023	E	311	315	standing021
2	13	05,03	O	8-1	NA	NA	NA	NA	3.6	2	7621	sacar de lista	Sacar de lista	NA	*	2023	E	NA	NA	standing022
2	9	05,12	A	22-1	263	259	8.4	5.3	1.3	2	236900	NA	NA	*	NA	2023	E	NA	233	standing023
3	10	05,20	A	7.1	NA	420	NA	9.4	1.3	2	238573	NA	No fue medido en el 2022. No estaba en el formulario parece que fue borrado por error o accidente.	NA	*	2023	E	NA	385	standing024
2	8	05,20	J	21-1	242	244	9.5	5.3	1.3	1	269635	NA	NA E	*	NA	2023	E	233	239	standing025
2	8	05,20	K	21-1	274	277	10.7	10.4	1.3	1	7497	NA	NA E	*	NA	2023	E	247	244	standing026
2	8	05,20	L	21-1	318	NA	0.95	NA	0.75	1	7496	NA	Se descompuso	NA	*	2023	E	163	NA	standing027
2	8	05,20	M	19-1	NA	NA	NA	NA	3	0	7499	Nada	Nada	*	NA	2023	E	NA	NA	standing028
2	8	05,20	P	3-1	365	343	13.7	13.4	1.3	2	238630	NA	NA	NA	*	2023	E	354	342	standing029
2	8	05,24	J	19-1	218	221	1.5	1.5	1.3	2	239685	NA	NA	NA	*	2023	E	NA	197	standing030
2	8	05,24	N	7-1	492	479	16	16	1.3	2	239534	NA	NA	NA	*	2023	E	467	449	standing031
2	8	05,24	O	22-1	273	265	11.2	11	1.3	2	7474	NA	NA	*	NA	2023	E	266	264	standing032
2	13	06,06	I	5-2	NA	NA	NA	NA	1.3	2	13123	Se cayó	Sacar de lista	*	NA	2023	V	NA	NA	standing033
2	13	06,06	O	21-1	516	517	13.6	12.6	1.3	2	7343	NA	NA	*	NA	2023	V	409	410	standing034
2	10	06,09	C	23-1	NA	485	NA	0.9	1.3	2	No tag	NA	NA	NA	*	2023	E	NA	340	standing035
2	10	06,09	M	22-1	203	NA	7.4	NA	1.3	2	231582	NA	Caido	*	NA	2023	E	155	NA	standing036
2	10	06,09	N	22-1	203	221	10.3	10.1	1.3	2	231571	NA	NA	*	NA	2023	E	172	180	standing037
2	13	07,01	B	3-1	NA	NA	NA	NA	1.3	2	7311	Se cayo	Sacar de lista	NA	*	2023	E	NA	NA	standing038
2	13	07,01	I	7-1	NA	NA	NA	NA	1.3	2	7321	Eliminar fila	Sacar de lista 2021	*	NA	2023	E	NA	NA	standing039
2	10	07,13	I	20-1	601	NA	7.5	NA	3	2	No tag esta en 0613 entre 24 y 34 mide más de 600 mm	Escalera	Caido	NA	*	2023	E	564	NA	standing040
2	9	07,13	J	21-1	251	256	9.4	8.8	1.3	2	7401	NA	NA	*	NA	2023	E	NA	NA	standing041
3	10	07,13	K	22-1	424	400	7	7.4	3	2	7227	Escalera	NA	*	NA	2023	E	379	364	standing042
2	8	07,20	O	21-1	486	494	NA	2.8	1.3	0	7177	NA	NA	NA	*	2023	E	398	394	standing043
2	8	07,20	P	21-2	389	387	9.2	9.2	1.3	2	7185	En censo original aparece con codigo 21-1, se corrigió el codigo ahora es 21-2	NA	*	NA	2023	E	373	368	standing044
2	8	07,20	P	21-1	473	408	26.3	3.9	1.3	0	228511	NA	NA	*	NA	2023	E	410	407	standing045
2	10	08,06	H	22-1	315	317	22.8	24	1.3	0	707088	NA	NA	NA	*	2023	E	NA	301	standing046
2	10	08,06	M	21-1	342	NA	17.3	NA	1.3	2	7029	NA	Caido	*	NA	2023	E	329	NA	standing047
2	10	08,06	M	21-2	713	NA	2	NA	1.3	2	7030	NA	Caido	NA	*	2023	E	360	NA	standing048
2	9	09,12	F	21-1	198	NA	9.2	NA	1.3	2	808233	NA	Caido	*	NA	2023	E	NA	NA	standing049
2	9	10,20	H	22-1	314	NA	14.5	NA	1.6	2	NA	No tiene tag es cecropia	Caido	*	NA	2023	E	264	NA	standing050
2	9	10,20	H	4-1	330	319	12.1	5.3	1.3	2	6849	NA	NA	NA	*	2023	E	304	313	standing051
3	13	01,24	K	22-1	344	318	6.5	5.8	1.3	1	259211	NA	revisar es 01,24	NA	*	2023	E	209	202	standing052
2	15	11,15	J	22-1	232	NA	5.3	NA	1.3	2	213097	NA	Se cayó	*	NA	2023	V	NA	NA	standing053
2	15	12,23	E	21-1	292	297	8.7	2.6	1.3	2	6472	NA	NA	*	NA	2023	V	209	223	standing054
2	15	12,23	O	22-1	234	238	5.9	5.4	1.3	2	204041	NA	NA	*	NA	2023	V	NA	229	standing055
2	15	13,16	A	20-1	757	698	30	27.4	1.3	1	6163	NA	NA	*	NA	2023	V	781	743	standing056
2	15	13,16	G	19-1	NA	NA	NA	NA	1.3	2	6393	Nada  sacar de lista	Sacar de lista	*	NA	2023	V	NA	NA	standing057
2	15	13,16	L	20-1	243	242	5.8	6.55	1.3	2	6154	NA	NA	*	NA	2023	V	254	253	standing058
2	13	14,05	E	22-1	381	NA	17.1	NA	3	2	513042	Escalera Cecryn	se cayo	*	NA	2023	V	378	NA	standing059
2	13	14,05	J	22-1	250	299	22.3	0.45	1.7	2	713072	Cecryn	Se quebró a 0.90	*	NA	2023	V	234	264	standing060
2	15	14,11	E	9-1	158	120	0.35	0.35	0.37	2	No tag	Se está desaciendo	Sacar de lista	NA	*	2023	V	89	75	standing061
2	15	14,14	K	21-1	264	NA	0.93	NA	0.45	2	814223	Se partió a 0.93	No se encontró nada	NA	*	2023	V	197	NA	standing062
2	15	14,24	C	22-1	252	263	11	7.8	1.3	2	6100	NA	NA	*	NA	2023	V	NA	279	standing063
2	15	14,24	E	6-1	99	NA	NA	NA	1.3	2	6105	NA	no mide sacar de lista	NA	*	2023	V	NA	NA	standing064
2	15	14,24	I	22-1	454	463	15.5	11.4	1.3	NA	813513	NA	NA	*	NA	2023	V	408	416	standing065
2	15	14,24	B	23-1	NA	283	NA	0.4	0.2	NA	194104	NA	NA	NA	*	2023	V	NA	223	standing066
2	14	15,07	B	8-1	NA	NA	NA	NA	0.2	2	no tag	Nada	Sacar de lista	*	NA	2023	V	NA	NA	standing067
2	14	15,07	I	22-1	250	NA	6.2	NA	1.3	2	No tag	NA	se cayó	*	NA	2023	V	198	NA	standing068
2	14	15,07	K	2-1	127	NA	NA	NA	0.49	2	415259	NA	sacar de lista	NA	NA	2023	V	67	NA	standing069
2	13	16,05	G	21-1	200	NA	6.6	NA	1.3	2	515094	NA	se cayó	*	NA	2023	V	157	NA	standing070
2	13	16,05	L	6-1	NA	NA	NA	NA	0.52	2	516063	Nada sacar de lista	sacar de lista	NA	NA	2023	V	NA	NA	standing071
2	13	16,05	O	5-1	NA	NA	NA	NA	0.28	2	5637	Nada sacar de lista	sacar de lista	NA	NA	2023	V	NA	NA	standing072
2	13	16,05	P	22-1	437	445	30.6	27.2	1.7	0	5633	NA	NA	NA	*	2023	V	397	472	standing073
2	15	16,12	C	2-1	NA	NA	NA	NA	0.7	2	no tag	Solo se encontró el clavo	Sacar de lista	NA	*	2023	V	NA	NA	standing074
2	13	17,01	A	22-1	364	242	3.1	1.6	1.3	2	5600	NA	NA	*	NA	2023	E	353	217	standing075
2	13	17,01	I	0-1	463	NA	0.4	NA	0.3	2	no tag	se esta rajando	Se cayó	NA	*	2023	E	346	NA	standing076
2	13	17,01	J	20-1	253	NA	3.9	NA	1.3	1	175172	NA	Se cayó	NA	*	2023	E	246	NA	standing077
