"month","day","year","subplot_code","transect_section_letter","code_of_piece","diameter_width.mm","diameter_height.mm","penetration.200mm","penetration.200mm.1","orientation_degrees","inclination","branchfall","uniqid","tag","notes","observer","RT","RR","TT","TC","TS","TV","MC","MS","suspended","soil_contact","years_present","first_appearance","last_ppearance","coded_notes"
1,31,2017,"01,21","M","01,21M.0.1",453,NA,83,NA,NA,NA,"1","fallen001",NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"TRUE","FALSE",NA,NA,8,2017,2024,""
1,31,2017,"01,24","J","01,24J.3.1",213,NA,NA,14,NA,NA,"1","fallen002",NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,1,2017,2017,""
1,31,2017,"01,24","N","01,24N.4.1",1264,NA,NA,6,NA,NA,"0","fallen004",NA,"Ceiba. Se esta aplastando",NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,1,2017,2017,""
1,31,2017,"01,24","O","01,24O.7.1",242,NA,29,NA,NA,NA,"1","fallen006","8190","Corteza.",NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"TRUE","FALSE",NA,NA,3,2017,2019,""
1,26,2017,"02,16","A","02,16A.6.1",220,NA,22,NA,NA,NA,"1","fallen007","8092",NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"TRUE","FALSE",NA,NA,6,2017,2022,""
1,26,2017,"02,16","B","02,16B.9.1",282,NA,29,NA,NA,NA,"0","fallen008",NA,"es la misma muestra de B9-2",NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,8,2017,2024,""
1,26,2017,"02,16","B","02,16B.9.2",242,NA,NA,1,NA,NA,"0","fallen009",NA,"es la misma muestra de B9-1",NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,1,2017,2017,""
1,26,2017,"02,16","D","02,16D.9.1",516,NA,28,NA,NA,NA,"1","fallen010",NA,"es la misma muestra que E 9-1",NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,8,2017,2024,""
1,26,2017,"02,16","E","02,16E.9.1",398,NA,82,NA,NA,NA,"0","fallen011",NA,"es la misma muestra que D 9-1",NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,7,2017,2023,""
1,24,2017,"03,12","B","03,12B.9.1",315,NA,NA,6,NA,NA,"1","fallen013",NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,1,2017,2017,""
1,24,2017,"03,12","O","03,12O.9.1",687,NA,NA,1,NA,NA,"1","fallen016",NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,2,2017,2018,""
1,24,2017,"03,12","P","03,12P.2.1",801,NA,NA,1,NA,NA,"1","fallen017",NA,"es el mismo que O 9-1",NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,2,2017,2018,""
1,31,2017,"03,23","I","03,23I.5.1",291,NA,NA,15,NA,NA,"1","fallen018",NA,"Psecropia",NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,1,2017,2017,""
1,31,2017,"03,23","J","03,23J.2.1",270,NA,NA,3,NA,NA,"0","fallen019",NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,1,2017,2017,""
1,31,2017,"03,23","L","03,23L.4.1",265,NA,86,NA,NA,NA,"1","fallen021",NA,"se esta rompiendo",NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,1,2017,2017,"AA;"
1,23,2017,"05,03","G","05,03G.3.1",285,NA,76,NA,NA,NA,"1","fallen024","7663",NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"FALSE","TRUE",NA,NA,3,2017,2019,""
1,23,2017,"05,03","I","05,03I.5.1",230,NA,91,NA,NA,NA,"0","fallen027",NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"TRUE","FALSE",NA,NA,1,2017,2017,""
1,23,2017,"05,03","J","05,03J.3.1",270,NA,159,NA,NA,NA,"1","fallen028","7663",NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"FALSE","TRUE",NA,NA,1,2017,2017,""
1,23,2017,"05,03","J","05,03J.4.1",375,NA,93,NA,NA,NA,"1","fallen029","7618",NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"TRUE","FALSE",NA,NA,3,2017,2019,""
1,23,2017,"05,03","K","05,03K.6.1",560,NA,112,NA,NA,NA,"1","fallen031","7330",NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,8,2017,2024,""
1,23,2017,"05,03","M","05,03M.6.1",557,NA,NA,NA,NA,NA,NA,"fallen032","7330","Esta bajo una rama viva grande que cayo sobre la muestra y no permite medirla",NA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"TRUE","FALSE",NA,NA,8,2017,2024,"AA;PN;"
1,26,2017,"05,12","F","05,12F.2.2",377,NA,47,NA,NA,NA,"0","fallen039",NA,"es la misma rama que F 2-1",NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,7,2017,2023,""
2,15,2017,"05,20","A","05,20A.8.1",292,NA,210,NA,NA,NA,"1","fallen040","238678","El año pasado no se pudo medir por  muchas lianas sobre el tronco",NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,1,2017,2017,""
1,31,2017,"05,20","E","05,20E.7.1",212,NA,101,NA,NA,NA,"0","fallen042","7766",NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"FALSE","TRUE",NA,NA,1,2017,2017,""
1,31,2017,"05,20","P","05,20P.7.1",318,NA,66,NA,NA,NA,"1","fallen043","238678",NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,5,2017,2022,""
2,15,2017,"05,24","B","05,24B.7.1",314,NA,95,NA,NA,NA,"0","fallen044","7475","irregular 368",NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"TRUE","FALSE",NA,NA,4,2017,2020,""
1,24,2017,"06,06","A","06,06A.7.1",489,NA,158,NA,NA,NA,"1","fallen047",NA,"es una muestra vieja. Revisar censo anterior",NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,3,2017,2019,""
1,24,2017,"06,06","D","06,06D.4.1",379,NA,29,NA,NA,NA,"0","fallen048",NA,"S esta rajando",NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,8,2017,2024,"AA;"
1,24,2017,"06,06","H","06,06H.7.1",240,NA,42,NA,NA,NA,"1","fallen049","7592",NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"TRUE","FALSE",NA,NA,3,2017,2019,""
1,24,2017,"06,06","I","06,06I.5.1",1056,NA,21,NA,NA,NA,"1","fallen050","13123","esta hueco y se esta abriendo",NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"FALSE","TRUE",NA,NA,6,2017,2022,"CH;AA;"
1,24,2017,"06,09","C","06,09C.6.1",810,NA,192,NA,NA,NA,"1","fallen054",NA,"Era el C 4-1 que estaba de pie",NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,3,2017,2019,""
1,24,2017,"06,09","D","06,09D.6.1",507,NA,61,NA,NA,NA,"1","fallen055",NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,4,2017,2020,""
1,23,2017,"07,01","G","07,01G.6.1",288,NA,92,NA,NA,NA,"1","fallen057",NA,"el mismo que J 6-1",NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,3,2017,2019,""
1,23,2017,"07,01","J","07,01J.6.1",427,NA,74,NA,NA,NA,"1","fallen059",NA,"El mismo que 6-1",NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"TRUE","FALSE",NA,NA,3,2017,2019,""
1,23,2017,"07,01","L","07,01L.3.1",495,NA,NA,10,NA,NA,"1","fallen060",NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,2,2017,2018,""
1,23,2017,"07,01","O","07,01O.9.2",351,NA,102,NA,NA,NA,"1","fallen061","7307",NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,1,2017,2017,""
