"month","day","year","subplot_code","transect_section_letter","code_of_piece","diameter_one.mm","diameter_two.mm","height","POM","penetration.200mm","penetration.200mm.1","branches","uniqid","tag","notes","observer","MC","MS","coded_notes"
1,31,2017,"01,21","G","01,21G.9.1",506,NA,5.7,1.3,121,NA,1,"standing001",NA,"Sin corteza","R",NA,NA,""
1,31,2017,"01,24","M","01,24M.9.1",544,NA,3.8,1.3,103,NA,2,"standing004","8188","sin corteza","R",NA,NA,""
1,26,2017,"02,16","F","02,16F.7.1",234,NA,15.8,1.9,32,NA,2,"standing005","257704","Psecropia","R",NA,NA,""
1,26,2017,"02,16","H","02,16H.7.1",428,NA,27.6,1.3,41,NA,1,"standing006","57916",NA,"R",NA,NA,""
1,24,2017,"03,09","A","03,09A.7.1",426,NA,10.6,1.3,70,NA,2,"standing007","7917",NA,"R",NA,NA,""
1,24,2017,"03,09","A","03,09A.7.2",369,NA,17.5,1.3,28,NA,1,"standing008","7918",NA,"R",NA,NA,""
1,24,2017,"03,09","C","03,09C.7.1",346,NA,18.6,1.3,27,NA,1,"standing009","8043",NA,"R",NA,NA,""
1,24,2017,"03,09","E","03,09E.6.1",212,NA,6,1.3,45,NA,2,"standing010","251565","La copa ya está sin lianas","R",NA,NA,""
3,2,2017,"03,12","A","03,12A.3.1",666,NA,30.5,3.5,30,NA,1,"standing011","7902","sin corteza. Escalera","R",NA,NA,""
1,31,2017,"03,23","P","03,23P.7.1",298,NA,7.5,1.3,32,NA,2,"standing018","402962","corteza","R",NA,NA,""
1,31,2017,"03,23","M","03,23M.4.1",611,NA,11.5,1.3,98,NA,2,"standing019","7820","con corteza","R",NA,NA,""
1,23,2017,"05,03","G","05,03G.7.1",516,NA,1.1,0.55,19,NA,2,"standing022","7660",NA,"R",NA,NA,""
1,26,2017,"05,12","I","05,12I.5.1",302,NA,1,0.5,NA,1,2,"standing023","269297","se quebró después del último censo está hueco por dentro","R",NA,NA,"CH;AA;"
1,31,2017,"05,20","A","05,20A.7.1",487,NA,27.9,1.3,68,NA,1,"standing024","238573",NA,"R",NA,NA,""
1,31,2017,"05,20","D","05,20D.7.1",460,NA,15.7,1.5,28,NA,2,"standing025","7763",NA,"R",NA,NA,""
1,31,2017,"05,20","P","05,20P.3.1",441,NA,19.5,1.3,83,NA,2,"standing027","238630","con corteza","R",NA,NA,""
1,31,2017,"05,24","N","05,24N.7.1",563,NA,16.3,1.3,47,NA,2,"standing030","239534","corteza","R",NA,NA,""
1,24,2017,"06,06","C","06,06C.7.1",288,NA,2.7,1.3,42,NA,2,"standing032",NA,NA,"R",NA,NA,""
1,24,2017,"06,06","I","06,06I.5.1",339,NA,2.6,1.3,77,NA,2,"standing033","7592","sin ramas","R",NA,NA,""
1,24,2017,"06,06","I","06,06I.5.2",618,NA,9.5,1.3,30,NA,2,"standing034","13123","sin ramas","R",NA,NA,""
1,23,2017,"07,01","B","07,01B.3.1",243,NA,3.2,1.3,48,NA,2,"standing035","7311","corteza","R",NA,NA,""
1,23,2017,"07,01","I","07,01I.7.1",338,NA,3,1.3,24,NA,2,"standing036","7321","corteza","R",NA,NA,""
