"subplot_code","month","day","year","transect_section_letter","code_of_piece","diameter_width.mm","diameter_height.mm","penetration.200mm","penetration.200mm.1","orientation_degrees","inclination","branchfall","uniqid","tag","notes","observer","RT","RR","TT","TC","TS","TV","MC","MS","suspended","soil_contact","coded_notes","pen.hit.mm","pendensity.kgm3","pen_density","years_present","first_appearance","last_ppearance","pen_crossmass.kgm","diam_sqr_m","k.diameter.yr","k.csmass.yr","habitat"
"01,21",2,15,2018,"I","01,21I.8.1",211,287,NA,7,NA,NA,0,"fallen002",NA,"irregular 287 diametro 2. No tag , ubicado fuera del plot","R",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"",28.5714285714286,122.609559304999,TRUE,2,2018,2019,4.28725310362025,0.044521,-0.00943403223335864,-0.771215242413668,"slope"
"01,21",1,31,2019,"I","01,21I.8.1",213,280,62,NA,100,13,0,"fallen002",NA,"No se sabe de qué arboles",NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"TRUE","FALSE",NA,NA,"",3.1,260.174398574486,TRUE,2,2018,2019,9.27072390873713,0.045369,NA,NA,"slope"
"01,21",1,31,2017,"M","01,21M.0.1",453,NA,83,NA,NA,NA,1,"fallen001",NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"TRUE","FALSE",NA,NA,"",4.15,235.695116522147,TRUE,8,2017,2024,37.987163818772,0.205209,-0.0325761704346127,-0.0818837297268261,"slope"
"01,21",2,15,2018,"M","01,21M.0.1",468,NA,79,NA,NA,NA,1,"fallen001",NA,"Perdió mucha corteza","R",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"TRUE","FALSE",NA,NA,"",3.95,239.671798102748,TRUE,8,2017,2024,41.2285937274868,0.219024,0.0370009564149683,-0.221699417471268,"slope"
"01,21",1,31,2019,"M","01,21M.0.1",451,NA,33,NA,360,17,1,"fallen001",NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"TRUE","FALSE",NA,NA,"",1.65,322.135353545161,TRUE,8,2017,2024,51.4613713636017,0.203401,0.0246926125903714,0.0389615793745631,"slope"
"01,21",2,7,2020,"M","01,21M.0.1",440,NA,32,NA,360,7.3,1,"fallen001",NA,NA,"R",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,"",1.6,325.510739725238,TRUE,8,2017,2024,49.4949119915328,0.1936,0.00455581653586066,0.19238826784392,"slope"
"01,21",2,25,2021,"M","01,21M.0.1",438,NA,NA,NA,360,11,1,"fallen001",NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,"",NA,271,FALSE,8,2017,2024,40.8326337451402,0.191844,0.0660617506780927,0.132123501356185,"slope"
"01,21",2,7,2022,"M","01,21M.0.1",410,331,NA,NA,360,12.5,1,"fallen001",NA,NA,"E",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,"",NA,271,FALSE,8,2017,2024,35.7788918733871,0.1681,-0.0706175672139534,-0.141235134427907,"slope"
"01,21",2,8,2023,"M","01,21M.0.1",440,NA,NA,NA,360,12.9,1,"fallen002",NA,"No se pude medir cross section highs porque el árbol se pegó al suelo","E",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,"PN;",NA,271,FALSE,8,2017,2024,41.2063858815452,0.1936,0.00684153181671678,0.0136830636334332,"slope"
"01,21",2,14,2024,"M","01,21M.0.1",437,NA,NA,NA,360,11.4,1,"fallen001",NA,NA,"E",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,"",NA,271,FALSE,8,2017,2024,40.6463962056446,0.190969,NA,NA,"slope"
