"subplot_code","habitat","month","day","year","transect_section_letter","code_of_piece","diameter_one.mm","diameter_two.mm","height","POM","penetration.200mm","penetration.200mm.1","branches","uniqid","tag","notes","observer","MC","MS","years_present","first_appearance","last_ppearance","coded_notes","pen.hit.mm","pendensity.kgm3","pen_density","b","mean_diameter_at1.3_mm","Diameter.at.top.of.snag","volume_m3","AGB.kg.dry.mass","k.volume.yr","k.mass.yr"
"01,21","slope",1,31,2017,"G","01,21G.9.1",506,NA,5.7,1.3,121,NA,1,"standing001",NA,"Sin corteza","R",NA,NA,4,2017,2020,"",6.05,207.441714332929,TRUE,0.060809464191434,506,NA,1.0029373932661,1756.08050298379,0.457520098597715,0.159435633140016
"01,21","slope",2,15,2018,"G","01,21G.9.1",493,NA,3.8,1.3,160,NA,1,"standing001",NA,"Sin corteza","R",NA,NA,4,2017,2020,"",8,188.710033948566,TRUE,0.0614080965820639,493,NA,0.634710042066825,1497.27786914773,1.0940817887883,-0.261334724182296
"01,21","slope",1,31,2019,"G","01,21G.9.1",470,162,1.4,1.3,50,NA,1,"standing001",NA,"sin corrteza","R",NA,NA,4,2017,2020,"",2.5,279.840382233256,TRUE,0.0625069556068513,470,NA,0.212530706510758,1944.45830086728,0.263418690709156,-0.0162785489572529
"01,21","slope",2,7,2020,"G","01,21G.9.1",412,159,1.4,1.3,17,NA,1,"standing001",NA,NA,"R","FALSE","TRUE",4,2017,2020,"",0.85,403.290546106234,TRUE,0.0655362705500066,412,NA,0.163312866663477,1976.37029630673,NA,NA
"01,21","slope",2,7,2020,"I","01,21I.20.1",454,342,12.3,1.3,82,NA,2,"standing002",8518,NA,"R","TRUE","FALSE",4,2020,2023,"",4.1,236.664872815049,TRUE,0.0633035720300947,454,226.276545915418,1.1593978345393,274.388741053286,-0.0788885292874567,-0.214362248483356
"01,21","slope",2,25,2021,"I","01,21I.20.1",459,336,13.6,1.3,NA,NA,2,"standing002",8518,NA,"V","TRUE","FALSE",4,2020,2023,"",NA,271,FALSE,0.0630516527536532,459,211.349863505525,1.25456549243329,339.987248449421,0.50647091564511,0.50647091564511
"01,21","slope",2,7,2022,"I","01,21I.20.1",446,337,6.5,1.3,NA,NA,2,"standing002",8518,NA,"E","TRUE","FALSE",4,2020,2023,"",NA,271,FALSE,0.0637124716885843,446,320.221869983152,0.756024403033712,204.882613222136,2.00222741051368,2.00222741051368
"01,21","slope",2,8,2023,"I","01,21I.20.1",367,197,1.08,0.54,NA,NA,2,"standing001",8518,NA,"E","TRUE","FALSE",4,2020,2023,"",NA,271,FALSE,0.0866460435615081,343.611223821553,350.224012173982,0.102089128880884,27.6661539267195,NA,NA
"01,21","slope",2,15,2018,"K","01,21K.8.1",443,349,11.3,1.3,50,NA,1,"standing003",8207,"Irregular 349 diámetro 2 sin ramas","R",NA,NA,7,2018,2024,"",2.5,279.840382233256,TRUE,0.0638677028740076,443,NA,1.52399601121689,1668.9779988734,0.53005028478172,1.70993996704323
"01,21","slope",1,31,2019,"K","01,21K.8.1",441,344,8.8,1.3,29,NA,2,"standing003",8207,"con corteza","R",NA,NA,7,2018,2024,"",1.45,336.548146518775,TRUE,0.0639717754497683,441,272.94124700119,0.896986520066825,301.879150780816,-0.0470773589187626,0.328939877525717
