"yearcol"	"type"	"mean_mass.Mg.ha"	"sd_mass.Mg.ha"	"mean_vol.m3.ha"	"sd_vol.m3.ha"	"input_mean_mass.Mg.ha"	"input_sd_mass.Mg.ha"	"input_mean_vol.m3.ha"	"input_sd_vol.m3.ha"
2018	"fallen"	8.93065893136708	13.7140284699791	32.9064053304922	47.4144737501427	2.38347903251657	7.18520864990033	7.70776856626328	22.4458062910542
2018	"standing"	6.79311453720959	19.0002706583894	13.5139827500213	33.2241681341448	1.96037430153475	5.80708125006217	3.80993873655739	11.460597202256
2019	"fallen"	10.3964452595097	14.5862359946464	37.4807348804811	48.9601264077211	1.85865538034715	4.445481892311	6.82167085675641	16.7143820504003
2019	"standing"	7.82382956505218	25.8284431429731	13.6331870601809	44.1432574090503	2.02373278241264	15.1118532775943	4.20750139634553	29.6972784330793
2020	"fallen"	9.43822075563096	14.020375291938	36.0672109092199	48.3077955573809	1.89538703554643	5.93958774588391	7.39250333024157	23.0966010775354
2020	"standing"	6.98420315074788	18.4675770944443	16.6371258272743	57.9095227091175	3.92588109899955	14.4218666249559	10.4830209604069	54.9282720088625
2021	"fallen"	11.7088002618514	27.7317781315205	43.205905025282	102.331284618156	3.9950719318863	21.7722947928592	14.7419628482889	80.340571191362
2021	"standing"	6.64429239637451	12.5422138339539	12.7480157554917	23.2215136257898	2.74794141620501	7.79756452449988	4.87321260143949	13.7972077597495
2022	"fallen"	10.5585205720788	24.0969903660989	38.9613305242761	88.9187836387413	1.16811864580971	2.36917087094194	4.31040090704692	8.74232793705513
2022	"standing"	4.90836492876759	10.4459952070949	9.04905063013863	17.1696048985424	1.17799566624152	4.56711510502063	2.66634694912057	9.50036812358612
2023	"fallen"	10.395213602362	25.1538589785944	38.3587217799337	92.8186678176916	3.1859143465754	23.9652665981849	11.7561415002782	88.432718074483
2023	"standing"	7.18439734240778	21.7007514839735	16.5913894879545	73.3649194677003	3.9379801693954	21.0111094627721	10.2962878331385	72.8661560624792
2024	"fallen"	9.76436763607693	17.524791462138	36.0308768858927	64.6671271665609	1.66401053068679	5.07778755945931	6.14026026083686	18.7372234666395
2024	"standing"	5.59270720186231	16.9211674399672	12.6702430059516	50.406208156587	0.525677746194004	3.36869286342965	1.71997848393903	12.2887156458397
